"","Species","Mass_g","litter_or_clutch_size_n","litters_or_clutches_per_y","longevity_y","female_maturity_d","gestation_d","weaning_d","Binomial","GBIF_ID"
"2771","Neotoma mexicana",203,2.345,2,0.666666667,60.346,33.19262,-999,"Neotoma_mexicana","2438447"
"2772","Neotoma micropus",203.09,2.15,2,7.683333333,136.35328,34.69704,29.83,"Neotoma_micropus","2438439"
"2773","Neotoma nelsoni",198,2.14,2,7.7,94.14,36.21884,33.5,"Neotoma_nelsoni","2438442"
"2774","Neotoma palatina",198,2.14,2,7.7,94.14,36.21884,33.5,"Neotoma_palatina","2438453"
"2775","Neotoma phenax",227.495,2,2,-999,-999,-999,-999,"Neotoma_phenax","2438436"
"2776","Neotoma stephensi",125.33,2.7,2,10.48333333,128.13556,32.99,33.24,"Neotoma_stephensi","2438448"
"2777","Neotomodon alstoni",47.32,3.25,2.25,-999,114.03482,27.49338,-999,"Neotomodon_alstoni","2439083"
"2778","Neotomys ebriosus",64.5,-999,-999,-999,-999,-999,-999,"Neotomys_ebriosus","5219832"
"2779","Neotragus batesi",2733.725,1,-999,14,325.24394,181.928,-999,"Neotragus_batesi","2441072"
"2780","Neotragus moschatus",6500,1,-999,13.4875,184.1378,180,-999,"Neotragus_moschatus","2441071"
"2781","Neotragus pygmaeus",4200,1,-999,12,486.988,188,-999,"Neotragus_pygmaeus","2441073"
"2782","Nesokia indica",160.79,4.135,-999,1.666666667,-999,17.17426,-999,"Nesokia_indica","2438985"
"2783","Nesolagus netscheri",1511.67,-999,-999,-999,-999,-999,-999,"Nesolagus_netscheri","2436684"
"2784","Nesomys audeberti",189,-999,-999,1.166666667,-999,-999,-999,"Nesomys_audeberti","4263432"
"2785","Nesomys lambertoni",159.48,-999,-999,1.166666667,-999,-999,-999,"Nesomys_lambertoni","4263431"
"2786","Nesomys rufus",163.96,-999,-999,1.166666667,-999,-999,-999,"Nesomys_rufus","2438588"
"2787","Neurotrichus gibbsii",10,2.81,1,-999,-999,21.27,-999,"Neurotrichus_gibbsii","2436208"
"2788","Neusticomys monticolus",39.5,1.94,-999,-999,-999,-999,-999,"Neusticomys_monticolus","2437741"
"2789","Neusticomys mussoi",40,-999,-999,-999,-999,-999,-999,"Neusticomys_mussoi","2437744"
"2790","Neusticomys oyapocki",47,-999,-999,-999,-999,-999,-999,"Neusticomys_oyapocki","2437743"
"2791","Neusticomys peruviensis",40,-999,-999,-999,-999,-999,-999,"Neusticomys_peruviensis","2437740"
"2792","Neusticomys venezuelae",47.1,-999,-999,-999,-999,-999,-999,"Neusticomys_venezuelae","2437742"
"2793","Nilopegamys plumbeus",60.5,1.985,-999,3,-999,-999,-999,"Nilopegamys_plumbeus","4264952"
"2794","Ningaui ridei",9.21,5.99,2,2,328.8,14,80.37,"Ningaui_ridei","2435428"
"2795","Ningaui timealeyi",7.885,5.85,2,2,-999,14,78,"Ningaui_timealeyi","2435426"
"2796","Ningaui yvonnae",11.55,7,2,1.083333333,243.52,-999,-999,"Ningaui_yvonnae","2435427"
"2797","Niviventer cameroni",80.76,4.41,-999,2.658333333,-999,-999,-999,"Niviventer_cameroni","4264900"
"2798","Niviventer coninga",80.65,2.37,-999,-999,-999,-999,-999,"Niviventer_coninga","4264899"
"2799","Niviventer cremoriventer",71.54,3.7,-999,0.833333333,-999,-999,-999,"Niviventer_cremoriventer","2439054"
"2800","Niviventer culturatus",81.17,-999,-999,-999,-999,-999,-999,"Niviventer_culturatus","2439058"
"2801","Niviventer fraternus",80.76,4.41,-999,2.658333333,-999,-999,-999,"Niviventer_fraternus","4264898"
"2802","Niviventer fulvescens",81.79,4.41,-999,2.658333333,-999,-999,-999,"Niviventer_fulvescens","2439050"
"2803","Niviventer langbianis",71.54,3.7,-999,0.833333333,-999,-999,-999,"Niviventer_langbianis","2439060"
"2804","Niviventer niviventer",83.2,-999,-999,-999,-999,-999,-999,"Niviventer_niviventer","2439056"
"2805","Niviventer rapit",79.73,-999,-999,-999,-999,-999,-999,"Niviventer_rapit","2439061"
"2806","Niviventer tenaster",71.54,3.7,-999,0.833333333,-999,-999,-999,"Niviventer_tenaster","2439052"
"2807","Noctilio albiventris",44,1,1,11.8,365.25,35,84.44,"Noctilio_albiventris","2433344"
"2808","Noctilio leporinus",44,1,1,11.8,365.25,35,84.44,"Noctilio_leporinus","2433343"
"2809","Nomascus concolor",6410.47,1,0.73,44.1,3058.818,207,679.565,"Nomascus_concolor","7262062"
"2810","Nomascus gabriellae",6621.085,1,-999,44.1,3069.409,207.59112,724,"Nomascus_gabriellae","4267267"
"2811","Nomascus leucogenys",6621.085,1,-999,40.84583333,3069.409,207.59112,724,"Nomascus_leucogenys","4267270"
"2812","Nomascus siki",6621.085,1,-999,44,3069.409,207.59112,724,"Nomascus_siki","4267266"
"2813","Notiomys edwardsii",21.3,-999,-999,-999,-999,-999,-999,"Notiomys_edwardsii","2438354"
"2814","Notiosorex crawfordi",4.15,3.76,2,1.25,-999,-999,41.45956,"Notiosorex_crawfordi","2435812"
"2815","Notiosorex evotis",4.47,3.76,2,1.25,-999,-999,41.45956,"Notiosorex_evotis","2435810"
"2816","Notomys alexis",33.67,3.9,3.73,5.2,76.09,35,30,"Notomys_alexis","2438970"
"2817","Notomys amplus",89.99,-999,-999,-999,-999,-999,-999,"Notomys_amplus","2438975"
"2818","Notomys aquilo",38.995,3,-999,4.241666667,-999,53.263,-999,"Notomys_aquilo","2438978"
"2819","Notomys cervinus",34.2,2.89,-999,0.416666667,172.1904,42.0752,32.89762,"Notomys_cervinus","2438974"
"2820","Notomys fuscus",37.14,2.985,3.3,2.908333333,81.7686,34.84352,30.218,"Notomys_fuscus","2438972"
"2821","Notomys longicaudatus",100,-999,-999,-999,-999,-999,-999,"Notomys_longicaudatus","2438977"
"2822","Notomys macrotis",89.99,-999,-999,-999,-999,-999,-999,"Notomys_macrotis","2438973"
"2823","Notomys mitchellii",52,3.28,3.53,5.229166667,73.0464,36.82756,30.2,"Notomys_mitchellii","2438971"
"2824","Notomys mordax",89.99,-999,-999,-999,-999,-999,-999,"Notomys_mordax","2438976"
"2825","Notopteris macdonaldi",68.17,0.99,-999,-999,-999,-999,-999,"Notopteris_macdonaldi","2432985"
"2826","Notopteris neocaledonica",68.17,0.995,-999,-999,-999,-999,-999,"Notopteris_neocaledonica","4265651"
"2827","Notoryctes caurinus",34,1.5,-999,0.083333333,-999,-999,-999,"Notoryctes_caurinus","2440824"
"2828","Notoryctes typhlops",55,1.5,-999,1.5,-999,-999,-999,"Notoryctes_typhlops","2440825"
"2829","Nyctalus aviator",38.925,1.865,-999,-999,-999,-999,59.44,"Nyctalus_aviator","5218526"
"2830","Nyctalus azoreum",14.235,1.5,1,12.5,-999,-999,-999,"Nyctalus_azoreum","5218523"
"2831","Nyctalus furvus",19.375,1.165,1,12,414.825,66.12,44.75,"Nyctalus_furvus","5707109"
"2832","Nyctalus lasiopterus",45.98,1.82,-999,-999,-999,-999,59.44,"Nyctalus_lasiopterus","5218525"
"2833","Nyctalus leisleri",16,1.5,1,12.5,-999,-999,-999,"Nyctalus_leisleri","5218522"
"2834","Nyctalus montanus",16,1.5,1,12.5,-999,-999,-999,"Nyctalus_montanus","5218527"
"2835","Nyctalus noctula",19.375,1.165,1,12,414.825,66.12,44.75,"Nyctalus_noctula","5218524"
"2836","Nyctalus plancyi",19.375,1.165,1,12,414.825,66.12,44.75,"Nyctalus_plancyi","7261805"
"2837","Nyctereutes procyonoides",4232,6.3,1,12.5,326.63,61.84,48.345,"Nyctereutes_procyonoides","2434552"
"2838","Nycteris arge",10.79,0.98,-999,-999,-999,-999,58.26,"Nycteris_arge","5218607"
"2839","Nycteris aurita",7.98,0.995,1.5,-999,-999,91.24,-999,"Nycteris_aurita","5707268"
"2840","Nycteris gambiensis",8.165,1,1.25,-999,-999,114.95,60.855,"Nycteris_gambiensis","5218611"
"2841","Nycteris grandis",29.9,1,2,-999,-999,-999,52.5,"Nycteris_grandis","5218616"
"2842","Nycteris hispida",7.98,0.995,1.5,-999,-999,91.24,-999,"Nycteris_hispida","5218608"
"2843","Nycteris intermedia",6.91,-999,-999,-999,-999,-999,-999,"Nycteris_intermedia","5218612"
"2844","Nycteris javanica",17.78,1,-999,-999,-999,-999,-999,"Nycteris_javanica","5218617"
"2845","Nycteris macrotis",14.49,0.99,2.25,-999,-999,78.21,60.41,"Nycteris_macrotis","5218609"
"2846","Nycteris madagascariensis",16.09,0.99,2.25,-999,-999,78.21,60.41,"Nycteris_madagascariensis","5707266"
"2847","Nycteris major",15.46,-999,-999,-999,-999,-999,-999,"Nycteris_major","5218613"
"2848","Nycteris nana",6.98,1,1,-999,-999,107.97,52.5,"Nycteris_nana","5218618"
"2849","Nycteris parisii",7.6,-999,-999,-999,-999,-999,-999,"Nycteris_parisii","7261939"
"2850","Nycteris thebaica",9.2,1,1.25,-999,-999,114.95,60.855,"Nycteris_thebaica","5218614"
"2851","Nycteris tragata",16.09,1,-999,-999,365.25,-999,-999,"Nycteris_tragata","5218610"
"2852","Nycteris vinsoni",17.015,0.99,2.25,-999,-999,78.21,60.41,"Nycteris_vinsoni","5707262"
"2853","Nycteris woodi",7.6,-999,-999,-999,-999,-999,-999,"Nycteris_woodi","5218615"
"2854","Nycticebus bengalensis",959.75,1.035,1,25.75,619.41,189.545,177.06876,"Nycticebus_bengalensis","4267329"
"2855","Nycticebus coucang",953.3,1.035,1,25.8,619.41,189.545,177.06876,"Nycticebus_coucang","2436629"
"2856","Nycticebus pygmaeus",907.525,1.12,1,25.7,578,188,177,"Nycticebus_pygmaeus","2436628"
"2857","Nycticeinops schlieffeni",5.05,2.54,1,-999,-999,78.63,-999,"Nycticeinops_schlieffeni","7765800"
"2858","Nycticeius aenobarbus",5.69,0.99,2.5,-999,106.82,92.25,30.32,"Nycticeius_aenobarbus","4266477"
"2859","Nycticeius cubanus",6.65,1.47,1,5,365,-999,29.14,"Nycticeius_cubanus","4266475"
"2860","Nycticeius humeralis",6.65,1.47,1,5,365,-999,29.14,"Nycticeius_humeralis","2432314"
"2861","Nyctiellus lepidus",3.88,-999,-999,-999,-999,-999,-999,"Nyctiellus_lepidus","4265593"
"2862","Nyctimene aello",85.26,0.98,-999,-999,-999,-999,-999,"Nyctimene_aello","5218630"
"2863","Nyctimene albiventer",29.95,0.99,2,-999,228.3,-999,-999,"Nyctimene_albiventer","5218631"
"2864","Nyctimene cephalotes",44.92,0.98,-999,-999,-999,-999,-999,"Nyctimene_cephalotes","5218640"
"2865","Nyctimene certans",43.24,-999,-999,-999,-999,-999,-999,"Nyctimene_certans","5218632"
"2866","Nyctimene cyclotis",44.615,-999,-999,-999,-999,-999,-999,"Nyctimene_cyclotis","5218637"
"2867","Nyctimene draconilla",30.05,0.99,2,-999,228.3,-999,-999,"Nyctimene_draconilla","5218641"
"2868","Nyctimene keasti",29.95,0.99,2,-999,228.3,-999,-999,"Nyctimene_keasti","7261741"
"2869","Nyctimene major",60.33,-999,-999,-999,-999,-999,-999,"Nyctimene_major","5218633"
"2870","Nyctimene malaitensis",78.39,-999,-999,-999,-999,-999,-999,"Nyctimene_malaitensis","5218638"
"2871","Nyctimene masalai",30.425,0.99,2,-999,228.3,-999,-999,"Nyctimene_masalai","5218627"
"2872","Nyctimene minutus",21.31,-999,-999,-999,-999,-999,-999,"Nyctimene_minutus","5218634"
"2873","Nyctimene rabori",68.25,1,1,-999,243.52,138.16,105,"Nyctimene_rabori","5218628"
"2874","Nyctimene robinsoni",48.83,0.995,1,-999,-999,98.93,121.76,"Nyctimene_robinsoni","5218635"
"2875","Nyctimene sanctacrucis",59.25,-999,-999,-999,-999,-999,-999,"Nyctimene_sanctacrucis","5218639"
"2876","Nyctimene vizcaccia",30.9,0.98,2,-999,228.3,-999,-999,"Nyctimene_vizcaccia","5218629"
"2877","Nyctinomops aurispinosus",18.43,1,-999,-999,-999,-999,-999,"Nyctinomops_aurispinosus","2433061"
"2878","Nyctinomops femorosaccus",14.5,0.99,1,-999,-999,80,-999,"Nyctinomops_femorosaccus","2433064"
"2879","Nyctinomops laticaudatus",13.56,0.995,1,-999,-999,-999,-999,"Nyctinomops_laticaudatus","2433063"
"2880","Nyctinomops macrotis",23,0.995,1,-999,106.54,76.1,76.1,"Nyctinomops_macrotis","2433062"
"2881","Nyctomys sumichrasti",53.33,2,6.785,5.2,-999,33.17524,21.1526,"Nyctomys_sumichrasti","2438370"
"2882","Nyctophilus arnhemensis",6.83,2,-999,-999,-999,-999,-999,"Nyctophilus_arnhemensis","2432523"
"2883","Nyctophilus bifax",10.605,2,-999,1,326.81,22.94,44.34,"Nyctophilus_bifax","7261844"
"2884","Nyctophilus geoffroyi",8,-999,-999,5.908333333,-999,-999,-999,"Nyctophilus_geoffroyi","2432519"
"2885","Nyctophilus gouldi",11.32,1.77,-999,1,326.81,22.94,44.34,"Nyctophilus_gouldi","2432517"
"2886","Nyctophilus microdon",9.05,-999,-999,-999,-999,-999,-999,"Nyctophilus_microdon","2432522"
"2887","Nyctophilus microtis",7.29,-999,-999,-999,-999,-999,-999,"Nyctophilus_microtis","2432518"
"2888","Nyctophilus timoriensis",11.02,2,-999,-999,-999,-999,-999,"Nyctophilus_timoriensis","2432521"
"2889","Nyctophilus walkeri",4.44,-999,-999,-999,-999,-999,-999,"Nyctophilus_walkeri","2432516"
"2890","Ochotona alpina",150,3.425,2.055,3,202.78556,29.708,21.1526,"Ochotona_alpina","2437027"
"2891","Ochotona argentata",150,4.69,2.305,3.5,196.50056,27.12094,21.1526,"Ochotona_argentata","2436970"
"2892","Ochotona cansus",68.75,3.29,2.25,5,413.84,24.49,18,"Ochotona_cansus","2436996"
"2893","Ochotona collaris",129,3.565,2,6,369.811,30.218,21.1526,"Ochotona_collaris","2437020"
"2894","Ochotona curzoniae",129.505,5.15,2.25,2.495833333,57.8476,22.827,-999,"Ochotona_curzoniae","2436963"
"2895","Ochotona dauurica",128,6.205,2.125,1.166666667,57.8476,30,-999,"Ochotona_dauurica","2437033"
"2896","Ochotona erythrotis",336.26,4.1,2.5,2.575,377.57,-999,-999,"Ochotona_erythrotis","2437001"
"2897","Ochotona forresti",142.5,5.705,2.265,3.5375,31.45736,22.25632,21.1526,"Ochotona_forresti","2436964"
"2898","Ochotona gaoligongensis",136.59,-999,-999,-999,-999,-999,-999,"Ochotona_gaoligongensis","2437038"
"2899","Ochotona gloveri",336.26,4.1,2.5,2.575,377.57,-999,-999,"Ochotona_gloveri","2436965"
"2900","Ochotona himalayana",132.9,3.42,-999,-999,-999,-999,-999,"Ochotona_himalayana","2437039"
"2901","Ochotona hoffmanni",150,3.425,2.055,3,202.78556,29.708,21.1526,"Ochotona_hoffmanni","2437021"
"2902","Ochotona huangensis",105.33,2.93,-999,-999,-999,-999,-999,"Ochotona_huangensis","2436955"
"2903","Ochotona hyperborea",135,3.07,2.055,9.4,202.78556,28.98,21.1526,"Ochotona_hyperborea","2437002"
"2904","Ochotona iliensis",240.3,-999,-999,-999,-999,-999,-999,"Ochotona_iliensis","2436969"
"2905","Ochotona koslowi",388.57,1,1,-999,-999,-999,-999,"Ochotona_koslowi","2437040"
"2906","Ochotona ladacensis",162.39,-999,-999,-999,-999,-999,-999,"Ochotona_ladacensis","2437012"
"2907","Ochotona macrotis",185.875,3.26,1.75,2.083333333,350.371,-999,21.1526,"Ochotona_macrotis","2436971"
"2908","Ochotona muliensis",336.26,4.1,2.5,2.575,377.57,-999,-999,"Ochotona_muliensis","2437042"
"2909","Ochotona nubrica",121.275,8.41,3.14,4,31.45736,22.25632,21.45696,"Ochotona_nubrica","2437014"
"2910","Ochotona princeps",140.2,3,2.11,7,347.57912,30.436,26.45,"Ochotona_princeps","2436982"
"2911","Ochotona pusilla",142.5,8.5,3.14,4,31.45736,22.25632,21.45696,"Ochotona_pusilla","2437017"
"2912","Ochotona roylei",187.5,3,1.625,2.083333333,179.01632,-999,21.1526,"Ochotona_roylei","2436952"
"2913","Ochotona rufescens",250,5.9,3.665,3.325,56.53278,25.96248,19.4367,"Ochotona_rufescens","2437023"
"2914","Ochotona rutila",260.07,4.1,2.5,2.575,377.57,-999,-999,"Ochotona_rutila","2436995"
"2915","Ochotona turuchanensis",135,3.07,2.055,9.4,202.78556,28.98,21.1526,"Ochotona_turuchanensis","2437013"
"2916","Ochrotomys nuttalli",22,2.65,4.2,8.4,-999,29.0071,20.84,"Ochrotomys_nuttalli","2438565"
"2917","Octodon bridgesi",169.175,-999,-999,-999,-999,-999,-999,"Octodon_bridgesi","5219899"
"2918","Octodon degus",204.835,5.31,1.8,7.1,187.19,90.09056,36,"Octodon_degus","5219900"
"2919","Octodon lunatus",186.875,-999,-999,2.575,-999,-999,-999,"Octodon_lunatus","5219898"
"2920","Octodontomys gliroides",155.77,2.035,-999,7.333333333,-999,103.83902,42.00168,"Octodontomys_gliroides","2439604"
"2921","Octomys mimax",121.515,-999,-999,-999,-999,-999,-999,"Octomys_mimax","5219901"
"2922","Odobenus rosmarus",846498.125,1.18,0.5,40,2005.875,353.702,669.99066,"Odobenus_rosmarus","5218819"
"2923","Odocoileus hemionus",57000,1.615,1,22,478,207,74.48564,"Odocoileus_hemionus","2440974"
"2924","Odocoileus virginianus",65320,1.71,1,21.6,309,201.39,129,"Odocoileus_virginianus","2440965"
"2925","Oecomys auyantepui",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_auyantepui","4265024"
"2926","Oecomys bicolor",40.74,3.15,-999,-999,92.8,-999,-999,"Oecomys_bicolor","2439315"
"2927","Oecomys catherinae",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_catherinae","4265023"
"2928","Oecomys cleberi",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_cleberi","2439307"
"2929","Oecomys concolor",53.5,3.275,4.2,-999,92.054,-999,-999,"Oecomys_concolor","2439311"
"2930","Oecomys flavicans",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_flavicans","2439316"
"2931","Oecomys mamorae",62.5,-999,-999,-999,-999,-999,-999,"Oecomys_mamorae","2439317"
"2932","Oecomys paricola",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_paricola","2439313"
"2933","Oecomys phaeotis",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_phaeotis","2439308"
"2934","Oecomys rex",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_rex","2439318"
"2935","Oecomys roberti",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_roberti","2439312"
"2936","Oecomys rutilus",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_rutilus","2439309"
"2937","Oecomys speciosus",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_speciosus","2439314"
"2938","Oecomys superans",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_superans","2439319"
"2939","Oecomys trinitatis",73.4,-999,-999,-999,-999,-999,-999,"Oecomys_trinitatis","2439310"
"2940","Oenomys hypoxanthus",87.67,3.365,-999,2.325,116.76494,-999,30.218,"Oenomys_hypoxanthus","2438923"
"2941","Oenomys ornatus",85.5,3.365,-999,2.325,116.76494,-999,30.218,"Oenomys_ornatus","2438922"
"2942","Okapia johnstoni",230001.14,1,0.8,33,726.20296,452.58332,194,"Okapia_johnstoni","2441207"
"2943","Olallamys albicauda",273.5,-999,-999,-999,-999,-999,-999,"Olallamys_albicauda","2439752"
"2944","Olallamys edax",206.4,-999,-999,-999,-999,-999,-999,"Olallamys_edax","2439751"
"2945","Oligoryzomys andinus",25.2,-999,-999,-999,-999,-999,-999,"Oligoryzomys_andinus","2438279"
"2946","Oligoryzomys arenalis",25.2,-999,-999,-999,-999,-999,-999,"Oligoryzomys_arenalis","2438285"
"2947","Oligoryzomys chacoensis",23,-999,-999,-999,-999,-999,-999,"Oligoryzomys_chacoensis","2438274"
"2948","Oligoryzomys delticola",29.39,3.3,-999,-999,-999,-999,-999,"Oligoryzomys_delticola","2438280"
"2949","Oligoryzomys destructor",27.645,4.385,-999,2.825,27.72,-999,-999,"Oligoryzomys_destructor","2438275"
"2950","Oligoryzomys eliurus",34.58,-999,-999,-999,-999,-999,-999,"Oligoryzomys_eliurus","2438281"
"2951","Oligoryzomys flavescens",21.15,4.175,-999,-999,-999,-999,-999,"Oligoryzomys_flavescens","2438271"
"2952","Oligoryzomys fornesi",26.65,3.4,-999,-999,-999,-999,-999,"Oligoryzomys_fornesi","4265163"
"2953","Oligoryzomys fulvescens",25,3.64,-999,-999,-999,-999,-999,"Oligoryzomys_fulvescens","2438276"
"2954","Oligoryzomys griseolus",25.2,-999,-999,-999,-999,-999,-999,"Oligoryzomys_griseolus","2438282"
"2955","Oligoryzomys longicaudatus",27.75,4.385,-999,2.825,27.72,-999,-999,"Oligoryzomys_longicaudatus","2438272"
"2956","Oligoryzomys magellanicus",27.645,4.385,-999,2.825,27.72,-999,-999,"Oligoryzomys_magellanicus","2438277"
"2957","Oligoryzomys microtis",26.65,3.4,-999,-999,-999,-999,-999,"Oligoryzomys_microtis","2438283"
"2958","Oligoryzomys nigripes",21.49,3.445,-999,-999,53.06574,25.26188,14.67682,"Oligoryzomys_nigripes","2438273"
"2959","Oligoryzomys vegetus",25,3.64,-999,-999,-999,-999,-999,"Oligoryzomys_vegetus","2438278"
"2960","Ommatophoca rossii",197959.395,0.98,1.05,21,1461,334.84,28,"Ommatophoca_rossii","2434788"
"2961","Ondatra zibethicus",997.955,6.415,2.555,10,174.53628,27.77838,26.70312,"Ondatra_zibethicus","5219858"
"2962","Onychogalea fraenata",5226.025,1,1.89,7.4,197.375,23,164.765,"Onychogalea_fraenata","2440152"
"2963","Onychogalea lunata",3499.99,1,-999,0.5,-999,-999,-999,"Onychogalea_lunata","2440153"
"2964","Onychogalea unguifera",5800,1,-999,5.5,-999,-999,-999,"Onychogalea_unguifera","2440151"
"2965","Onychomys arenicola",24.96,3.665,2.55,4.6,81.9578,30.5,21.91042,"Onychomys_arenicola","2438515"
"2966","Onychomys leucogaster",32.5,3.84,2.5,5,107.71,31.63,23,"Onychomys_leucogaster","2438517"
"2967","Onychomys torridus",22,3.665,2.55,4.8,81.9578,30.5,21.91042,"Onychomys_torridus","2438516"
"2968","Orcaella brevirostris",189999.995,1,-999,30,1826,426,471.379,"Orcaella_brevirostris","2440460"
"2969","Orcinus orca",4300000,1,0.21,90,4206.86392,454.72102,443.38,"Orcinus_orca","2440483"
"2970","Oreamnos americanus",77227.7,1.32,1,19.16833333,912.38782,182.62,103.43,"Oreamnos_americanus","2441151"
"2971","Oreonax flavicauda",8229.12,1,-999,6.983333333,1683.65,225,-999,"Oreonax_flavicauda","4267227"
"2972","Oreotragus oreotragus",13000,1,1.05,17.83166667,365.232,206.66044,136.962,"Oreotragus_oreotragus","2441044"
"2973","Ornithorhynchus anatinus",1225,2,1.1,17,645.23,14.74,113.485,"Ornithorhynchus_anatinus","2433376"
"2974","Orthogeomys cavator",650,-999,-999,-999,-999,-999,-999,"Orthogeomys_cavator","2439408"
"2975","Orthogeomys cherriei",225,2.5,2,-999,-999,-999,-999,"Orthogeomys_cherriei","2439403"
"2976","Orthogeomys cuniculus",499.99,-999,-999,-999,-999,-999,-999,"Orthogeomys_cuniculus","2439412"
"2977","Orthogeomys dariensis",437.99,-999,-999,-999,-999,-999,-999,"Orthogeomys_dariensis","2439407"
"2978","Orthogeomys grandis",499.99,-999,-999,-999,-999,-999,-999,"Orthogeomys_grandis","2439402"
"2979","Orthogeomys heterodus",615,-999,-999,-999,-999,-999,-999,"Orthogeomys_heterodus","2439411"
"2980","Orthogeomys hispidus",574.995,1.985,-999,-999,84.30772,-999,-999,"Orthogeomys_hispidus","2439406"
"2981","Orthogeomys lanius",499.99,-999,-999,-999,-999,-999,-999,"Orthogeomys_lanius","2439410"
"2982","Orthogeomys underwoodi",250,-999,-999,-999,-999,-999,-999,"Orthogeomys_underwoodi","2439404"
"2983","Orycteropus afer",56175.2,1.03,1,24,755.15,222.05,102.56932,"Orycteropus_afer","5218416"
"2984","Oryctolagus cuniculus",1900,5.24,4.415,10,185.61,30.5959375,26.15,"Oryctolagus_cuniculus","2436940"
"2985","Oryx beisa",103750,1,1.89,20.25,612.67668,168,60,"Oryx_beisa","5706393"
"2986","Oryx dammah",177500,1,1.89,23.625,639,247,60,"Oryx_dammah","5220165"
"2987","Oryx gazella",37500,1,1.89,20.75,612.67668,168,60,"Oryx_gazella","5220166"
"2988","Oryx leucoryx",121350,1,1.33,20.7125,730.77436,243,62.41434,"Oryx_leucoryx","5220164"
"2989","Oryzomys albigularis",60.5,3.4,-999,-999,-999,-999,-999,"Oryzomys_albigularis","2438085"
"2990","Oryzomys alfaroi",41.645,3.735,-999,-999,-999,-999,-999,"Oryzomys_alfaroi","2438073"
"2991","Oryzomys angouya",120.17,-999,-999,-999,-999,-999,-999,"Oryzomys_angouya","4265046"
"2992","Oryzomys auriventer",60.5,3.4,-999,-999,-999,-999,-999,"Oryzomys_auriventer","2438106"
"2993","Oryzomys balneator",60.5,-999,-999,-999,-999,-999,-999,"Oryzomys_balneator","2438087"
"2994","Oryzomys bolivaris",57.745,3.23,-999,-999,-999,-999,-999,"Oryzomys_bolivaris","2438075"
"2995","Oryzomys caracolus",60.5,3.4,-999,-999,-999,-999,-999,"Oryzomys_caracolus","4265038"
"2996","Oryzomys chapmani",49.99,3.735,-999,-999,-999,-999,-999,"Oryzomys_chapmani","2438077"
"2997","Oryzomys couesi",53.26,3.77,5.5,1.895833333,52.04804,24.5444,13.329,"Oryzomys_couesi","2438070"
"2998","Oryzomys devius",60.5,3.4,-999,-999,-999,-999,-999,"Oryzomys_devius","2438065"
"2999","Oryzomys emmonsae",22.65,4.345,3.9,7.9,70.91588,25.26188,22.33,"Oryzomys_emmonsae","4265041"
"3000","Oryzomys galapagoensis",63.51,-999,-999,1.666666667,-999,-999,-999,"Oryzomys_galapagoensis","2438067"
"3001","Oryzomys gorgasi",60.5,-999,-999,-999,-999,-999,-999,"Oryzomys_gorgasi","2438091"
"3002","Oryzomys hammondi",60.5,-999,-999,-999,-999,-999,-999,"Oryzomys_hammondi","2438081"
"3003","Oryzomys keaysi",59.395,3.4,-999,-999,-999,-999,-999,"Oryzomys_keaysi","2438082"
"3004","Oryzomys lamia",60.5,-999,-999,-999,-999,-999,-999,"Oryzomys_lamia","2438093"
"3005","Oryzomys laticeps",50.825,4.02,5.995,3.870833333,53.85,30.245,29.218,"Oryzomys_laticeps","4265044"
"3006","Oryzomys legatus",61.5,-999,-999,-999,-999,-999,-999,"Oryzomys_legatus","2438083"
"3007","Oryzomys levipes",60.5,3.4,-999,-999,-999,-999,-999,"Oryzomys_levipes","2438094"
"3008","Oryzomys macconnelli",66.49,-999,-999,-999,-999,-999,-999,"Oryzomys_macconnelli","2438084"
"3009","Oryzomys maracajuensis",49.91,4.585,-999,-999,-999,-999,29.218,"Oryzomys_maracajuensis","4265052"
"3010","Oryzomys marinhus",49.91,4.585,-999,-999,-999,-999,29.218,"Oryzomys_marinhus","4265049"
"3011","Oryzomys megacephalus",50.825,4.02,5.995,3.870833333,53.85,30.245,29.218,"Oryzomys_megacephalus","4265045"
"3012","Oryzomys melanotis",49.99,3.88,-999,-999,-999,-999,-999,"Oryzomys_melanotis","2438072"
"3013","Oryzomys meridensis",60.5,3.4,-999,-999,-999,-999,-999,"Oryzomys_meridensis","4265050"
"3014","Oryzomys nitidus",51.63,4.02,5.995,3.870833333,53.85,30.245,29.218,"Oryzomys_nitidus","2438086"
"3015","Oryzomys palustris",50.465,3.925,5.5,1.895833333,52.04804,24.5444,13.329,"Oryzomys_palustris","2438095"
"3016","Oryzomys perenensis",50.825,4.02,5.995,3.870833333,53.85,30.245,29.218,"Oryzomys_perenensis","4265047"
"3017","Oryzomys polius",60.5,-999,-999,-999,-999,-999,-999,"Oryzomys_polius","2438107"
