"ls" "ly" "bm" "long" "gest" "wea" "fmat" "General_system" "Eigen.1" "Eigen.2" "Eigen.3" "Eigen.4" "Eigen.5" "Eigen.6" "Eigen.7" "Eigen.8" "Eigen.9" "Eigen.10"
"Chrysospalax_villosus" 0.293362554711446 0.0590640209895479 2.02602226966272 0.460224777707395 1.91971817352612 1.84184906475177 2.60284400164542 "T" -0.0235375784533625 -0.73328286845517 1.04575081863817 0.0303414522057241 0.722610396445193 -0.114412061466306 -0.713740223213486 -0.292271804538962 1.25036192664152 0.899167219195649
"Chrysospalax_trevelyani" 0.14921911265538 0 2.63752975480924 0.602059991327962 2.06069784035361 1.84189521107909 2.62521279818726 "T" -0.0235375784533625 -0.73328286845517 1.04575081863817 0.0303414522057245 0.722610396445193 -0.114412061466306 -0.713740223213486 -0.292271804538962 1.25036192664152 0.899167219195648
"Chlorotalpa_sclateri" 0.301029995663981 0.0703741783766111 1.58319877396862 0.43263073900749 1.83505931579636 1.78822585219173 2.60016075128812 "T" -0.0235467099306652 -0.733780786997676 1.04714607198096 0.0303898410055009 0.724181497433376 -0.114682270035296 -0.715843731963285 -0.293530215956319 1.25675951027381 0.904369127762768
"Chlorotalpa_duthieae" 0.301029995663981 0.0703741783766111 1.49609899213257 0.43263073900749 1.83505931579636 1.78822585219173 2.60016075128812 "T" -0.0235467099306651 -0.733780786997675 1.04714607198096 0.0303898410055036 0.724181497433375 -0.114682270035294 -0.715843731963284 -0.29353021595632 1.25675951027381 0.904369127762766
"Neamblysomus_julianae" -0.0177287669604316 0.0363755149527089 1.34222522936079 0.578758029400455 2.04227146670443 1.82148270377313 2.61664684084681 "T" -0.0235502523940273 -0.733973924678201 1.04768712124922 0.0304086029983785 0.724790512512768 -0.114787003978307 -0.716658852126812 -0.294017568485589 1.25923626990081 0.906382411715775
"Amblysomus_septentrionalis" 0.285557309007774 0.301029995663981 1.81157500587059 0 1.78235058245671 1.56611917791605 2.19416511601277 "T" -0.0235502523940273 -0.733973924678201 1.04768712124922 0.0304086029983785 0.724790512512768 -0.114787003978307 -0.716658852126813 -0.294017568485588 1.2592362699008 0.906382411715773
"Amblysomus_marleyi" 0.285557309007774 0.301029995663981 1.81157500587059 0 1.78235058245671 1.56611917791605 2.19416511601277 "T" -0.0235503941381899 -0.733981651789645 1.047708762154 0.0304093533645906 0.724814863917575 -0.114791191447761 -0.716691434804183 -0.29403703908548 1.25933518983236 0.906462800049035
"Amblysomus_corriae" 0.285557309007774 0.301029995663981 1.81157500587059 0 1.78235058245671 1.56611917791605 2.19416511601277 "T" -0.0235503941381898 -0.733981651789645 1.047708762154 0.0304093533645895 0.724814863917575 -0.114791191447763 -0.716691434804183 -0.294037039085481 1.25933518983236 0.906462800049033
"Amblysomus_robustus" 0.285557309007774 0.301029995663981 1.81157500587059 0 1.78235058245671 1.56611917791605 2.19416511601277 "T" -0.0235483768560265 -0.733871680320408 1.04740076877335 0.0303986741214074 0.724468291518737 -0.114731594709505 -0.716227709950715 -0.293759924537574 1.25792730348807 0.905318658035859
"Amblysomus_hottentotus" 0.285557309007774 0.301029995663981 1.81157500587059 0 1.78235058245671 1.56611917791605 2.19416511601277 "T" -0.023547847547109 -0.733842825097584 1.04731995415477 0.0303958719760227 0.724377353014374 -0.114715956842892 -0.716106029990735 -0.293687209120974 1.25755786698165 0.905018426513196
"Dasypus_hybridus" 0.790988475088816 0.069466088865683 3.17609125905568 0.836324064113775 2.09367378296912 1.66783401461082 2.47279139859217 "T" -0.0233888608199936 -0.725115996408063 1.02249018163 0.0295293989192947 0.695846313072779 -0.109786207472632 -0.677159029157128 -0.269534170521625 1.13194176319673 0.800862458332517
"Dasypus_novemcinctus" 0.602059991327962 0 3.59648823349327 1.27067883614471 2.12385164096709 2.13666033235787 2.585862057728 "T" -0.0234068244938893 -0.726090923962204 1.02519241338373 0.0296226954603987 0.698844493158668 -0.110300092025532 -0.681115690897088 -0.271836763739958 1.1434384129765 0.810062962662388
"Dasypus_septemcinctus" 0.777789187434867 0.0731869853478525 3.17632860850285 1.22314968272337 2.10052948159894 1.80281876770014 2.43763008486784 "T" -0.0234068244938892 -0.726090923962204 1.02519241338373 0.0296226954603984 0.698844493158667 -0.110300092025533 -0.681115690897087 -0.271836763739958 1.1434384129765 0.810062962662386
"Dasypus_kappleri" 0.509874285004719 0.0528422987682399 3.99679242806888 0.0669467897546974 1.90470627326273 1.60944861776726 2.51604890554927 "T" -0.023409106986688 -0.726214779618983 1.02553558164762 0.0296345418754024 0.699225067045716 -0.110365315142234 -0.681617714016709 -0.272128698345591 1.14489536604905 0.811228500276738
