"","Species","ls","ly","bm","long","gest","wea","fmat","General_system","PC1","PC2","Binomial","GBIF_ID"
"682","Crocidura_watasei",0.0748144335038096,0.191303317490363,0.737987326333431,-0.385361525210201,-0.0849709993015061,-0.0763660687126349,-0.0282008343544855,"T",1.08987809952802,0.0149761686896874,"Crocidura_watasei","2435692"
"683","Crocidura_wuchihensis",0.0748144335038096,0.19200912823322,0.737987326333431,-0.433292504293524,-0.0925507424659961,-0.0741529258568848,-0.0629961385105253,"T",1.19138380906609,0.0205184387993019,"Crocidura_wuchihensis","2435650"
"684","Crocidura_zaphiri",0.163379804732558,0.247214221797401,1.56062387454993,-0.404523483071425,-0.240438818203565,-0.237697624566319,-0.20136460399152,"T",1.98283509614134,-0.0327302868483758,"Crocidura_zaphiri","2435730"
"685","Crocidura_zimmermanni",0.204476438205443,0.212928328517363,1.02530586526477,-0.0143734136046906,-0.0910196873350042,-0.0916331706577904,-0.266070721620257,"T",1.30164699986617,-0.189240459991503,"Crocidura_zimmermanni","2435665"
"686","Crocuta_crocuta",0.16459463054201,0.031722719456609,4.79934054945358,0.310559546553615,-0.111007828604167,0.285226098589188,0.082572720070678,"T",-0.346875526635883,0.75707752200767,"Crocuta_crocuta","5218781"
"687","Crossarchus_alexandri",0.35151273241214,0.120285640053721,3.17707454591008,-0.365229834503324,-0.112950266364726,-0.327110779430317,-0.14524432776476,"T",1.85837144332788,0.257155269066688,"Crossarchus_alexandri","5219136"
"688","Crossarchus_obscurus",0.331856105081687,0.246818521756374,2.89762709129044,0.0458916381013004,-0.0150065628548678,-0.480743096941434,-0.0989555096784674,"T",1.67897527000892,-0.530048307710491,"Crossarchus_obscurus","5219137"
"689","Crossarchus_platycephalus",0.331856105081687,0.246818521756374,2.89762709129044,0.0458916381013004,-0.0150065628548678,-0.480743096941434,-0.0989555096784674,"T",1.67897527000892,-0.530048307710491,"Crossarchus_platycephalus","5219138"
"690","Crossomys_moncktoni",-0.28803537258718,0.245526635787187,2.22639366301808,-0.715866730638482,-0.214587339366292,-0.111242888847555,-0.320507941599225,"SA",1.59037708333105,-0.731663421208659,"Crossomys_moncktoni","2438683"
"691","Cryptomys_amatus",0.115412347197574,-0.0717360213135551,1.89181611952486,0.340931781416098,0.228799565208237,0.017864837320302,0.329008843006466,"T",-1.05590542750414,0.141463311926112,"Cryptomys_amatus","4263045"
"692","Cryptomys_anselli",-0.0351773661393073,-0.0394559601679573,1.94346978316986,0.467096226654178,0.287757862577891,0.136181555150008,0.227176081889415,"T",-1.43084746958483,-0.297870106108582,"Cryptomys_anselli","4263049"
"693","Cryptomys_bocagei",0.116013834157003,-0.0709138667078546,1.90036712865647,0.310709360798019,0.217598837393358,0.0161572306821318,0.327202231198988,"T",-1.00499792036711,0.170333320974772,"Cryptomys_bocagei","2437216"
"694","Cryptomys_hottentotus",0.115782403278983,-0.0712302026803687,1.89707700320942,0.339839246591347,0.218121018245257,0.0168142572350595,0.327897351434418,"T",-1.03685896488429,0.156530828412802,"Cryptomys_hottentotus","2437213"
"695","Cryptoprocta_ferox",0.282892491186479,-0.0472733550849874,3.97772360528885,0.168374021535077,-0.0614915992576825,0.0524272783860072,0.410028464358045,"T",-0.38134462710853,1.10127769638115,"Cryptoprocta_ferox","2433516"
"696","Cryptotis_alticola",0.0612209828850308,0.0961988194380399,0.836640541572774,-0.217134558580656,-0.171587531240397,-0.0843841751802208,-0.251933747649778,"T",1.14773539096801,-0.0130132866837863,"Cryptotis_alticola","5219500"
"697","Cryptotis_goldmani",0.0612209828850308,0.0910826376654789,0.836640541572774,-0.220644194378818,-0.176350894114207,-0.0648584976579707,-0.148445802544538,"T",0.983718523024073,0.128648080784493,"Cryptotis_goldmani","5219488"
"698","Cryptotis_magna",0.0610902538034459,0.0872815388289338,0.845098040014257,-0.225480116858977,-0.175888636008599,-0.0665474305381384,-0.148043597950184,"T",0.98220984798987,0.134674659525411,"Cryptotis_magna","5219481"
"699","Cryptotis_meridensis",0.0795109278377636,0.123218901223643,1.08635983067475,-0.270309793993491,-0.207108542609973,-0.134252244455618,-0.294249479430889,"T",1.44402421577043,-0.0481716020117978,"Cryptotis_meridensis","5219507"
"700","Cryptotis_mexicana",0.0618158922043459,0.101366188782389,0.845098040014257,-0.218138130475544,-0.177744678885888,-0.0665474305381384,-0.158947413189684,"T",1.01944278942985,0.100965196002883,"Cryptotis_mexicana","5219495"
"701","Cryptotis_nelsoni",0.0618158922043459,0.101366188782389,0.845098040014257,-0.218138130475544,-0.177744678885888,-0.0665474305381384,-0.158947413189684,"T",1.01944278942985,0.100965196002883,"Cryptotis_nelsoni","5219480"
"702","Cryptotis_obscura",0.0618158922043459,0.101366188782389,0.845098040014257,-0.218138130475544,-0.177744678885888,-0.0665474305381384,-0.158947413189684,"T",1.01944278942985,0.100965196002883,"Cryptotis_obscura","5219506"
"703","Cryptotis_orophila",0.239723042108089,0.0444062736781018,0.792391689498254,-0.135361688274308,-0.194232224717448,-0.11371183234236,-0.48986312329311,"T",1.61509105371587,0.15653607551801,"Cryptotis_orophila","5219493"
"704","Cryptotis_parva",0.239723042108089,0.0444062736781018,0.792391689498254,-0.135361688274308,-0.194232224717448,-0.11371183234236,-0.48986312329311,"T",1.61509105371587,0.15653607551801,"Cryptotis_parva","5219509"
"705","Cryptotis_peregrina",0.0618158922043459,0.0918958014908648,0.845098040014257,-0.2224005745103,-0.177693196653178,-0.0665474305381384,-0.150232657909903,"T",0.994133882975606,0.127456063370707,"Cryptotis_peregrina","5219482"
"706","Cryptotis_phillipsii",0.0618158922043459,0.0918958014908648,0.845098040014257,-0.2224005745103,-0.177693196653178,-0.0665474305381384,-0.150232657909903,"T",0.994133882975606,0.127456063370707,"Cryptotis_phillipsii","5219483"
"707","Cryptotis_tropicalis",0.239723042108089,0.0444062736781018,0.792391689498254,-0.135361688274308,-0.194232224717448,-0.11371183234236,-0.48986312329311,"T",1.61509105371587,0.15653607551801,"Cryptotis_tropicalis","5219496"
"708","Ctenodactylus_gundi",-0.0221914274351518,-0.193140638287267,2.4605971888976,-0.0563537492071582,0.0880167489040555,-0.141972838159278,0.0594179679120177,"T",-0.345473133350569,0.0366511242591007,"Ctenodactylus_gundi","5219941"
"709","Ctenodactylus_vali",4.36859176311742e-05,0.0547762018156154,2.4600103145409,-0.0874287282652863,0.0381588198741068,-0.193486908735096,0.0595419596100736,"T",0.312728330386636,-0.321661617100418,"Ctenodactylus_vali","5219940"
"710","Ctenomys_azarae",0.171677173834294,0.0926929078229242,2.53147891704225,-0.496520283159963,0.168101184289449,-0.226317039174777,-0.130805542206033,"T",1.16428191816487,-0.279128606680655,"Ctenomys_azarae","2439628"
"711","Ctenomys_bergi",0.122309591980718,0.0634042250143032,2.25149221456958,-0.438375066261037,0.212538302925383,-0.150572118245412,-0.0716514383057154,"T",0.746081049668552,-0.266128927786406,"Ctenomys_bergi","4263411"
"712","Ctenomys_coludo",0.0633048327466359,-0.0464517060237278,2.46230813457169,-1.42000758659934,0.167828660526664,-0.281933887642182,0.0436344022267853,"T",1.48875379201432,0.299461611198406,"Ctenomys_coludo","4263382"
"713","Ctenomys_conoveri",0.0965981351105012,0.022084297611491,2.93449340127837,-0.614976952093317,0.109937352904923,-0.294294570138252,-0.119842065029638,"T",1.187255626677,-0.234051447617363,"Ctenomys_conoveri","2439643"
"714","Ctenomys_famosus",0.0846176762793669,-0.0273141696147048,2.46230813457169,-1.42000758659934,0.201861108866274,-0.209684325372112,0.023911749855115,"T",1.44404962577237,0.334138670879486,"Ctenomys_famosus","4263385"
"715","Ctenomys_fochi",0.0745702324253586,0.0556215634044602,2.25149221456958,-0.438375066261037,0.212538302925383,-0.130509414175652,-0.0716514383057154,"T",0.636028003098223,-0.318129831542944,"Ctenomys_fochi","4263371"
"716","Ctenomys_fodax",0.297253680900244,0.01991190612588,2.14872601639815,-0.334386169311896,0.279726142932762,-0.130349184204219,-0.0198621953745222,"T",0.635154165868734,0.0653700692025038,"Ctenomys_fodax","4263412"
"717","Ctenomys_fulvus",0.0521540485111239,-0.0464517060237278,2.46230813457169,-1.42000758659934,0.159669256727084,-0.283546461775902,0.0459719039902252,"T",1.48197859305921,0.290826265566174,"Ctenomys_fulvus","2439609"
"718","Ctenomys_haigi",0.0967417715880615,0.0612432660771936,2.2148438480477,-0.430764250455904,0.218354821340592,-0.156287701571071,-0.0639085660126149,"T",0.687192012454598,-0.325960533284427,"Ctenomys_haigi","2439635"
"719","Ctenomys_johannis",0.0633048327466359,-0.0464517060237278,2.46230813457169,-1.42000758659934,0.167828660526664,-0.281933887642182,0.0436344022267853,"T",1.48875379201432,0.299461611198406,"Ctenomys_johannis","4263377"
"720","Ctenomys_juris",0.0745702324253586,0.0556215634044602,2.25149221456958,-0.438375066261037,0.212538302925383,-0.130509414175652,-0.0716514383057154,"T",0.636028003098223,-0.318129831542944,"Ctenomys_juris","4263369"
"721","Ctenomys_latro",0.0954800388007116,0.0694212495934191,2.26768787986574,-0.441738441961208,0.209967864065975,-0.164477240613426,-0.0750731724780993,"T",0.747765245225904,-0.345186774837789,"Ctenomys_latro","2439611"
"722","Ctenomys_magellanicus",0.113975030979282,-0.0187319850184128,2.43367384663706,-0.461430039977967,0.209980360386139,-0.202010819920162,-0.019173018437839,"T",0.602852206726362,-0.146950009732619,"Ctenomys_magellanicus","2439613"
"723","Ctenomys_maulinus",0.0993196561637896,0.0568958387745802,2.25149221456958,-0.438375066261037,0.212538302925383,-0.139840029930882,-0.0716514383057154,"T",0.686508680668695,-0.284950857509338,"Ctenomys_maulinus","2439638"
"724","Ctenomys_mendocinus",0.15198261524374,0.0657730024141182,2.25149221456958,-0.438375066261037,0.212538302925383,-0.170404673232572,-0.0716514383057154,"T",0.819479928773752,-0.239666698731734,"Ctenomys_mendocinus","2439625"
"725","Ctenomys_occultus",0.0918038866666952,0.0643964267591787,2.21542604779377,-0.430885156664002,0.218262419526658,-0.154040735401528,-0.0640315700837569,"T",0.68340510416028,-0.337820883571337,"Ctenomys_occultus","2439615"
"726","Ctenomys_opimus",0.00711464740024035,-0.183531977949509,2.56053428311446,-0.844972549751931,-0.012958323743213,-0.383039852056042,0.0968059706642807,"T",0.879957552463593,0.338780031262547,"Ctenomys_opimus","2439640"
"727","Ctenomys_peruanus",0.192326453373786,-0.17106537408141,2.69019608002851,-0.577605651726093,0.266159291329471,-0.456428787987376,0.0694117146556252,"T",0.686783122233593,-0.0307980783355156,"Ctenomys_peruanus","2439642"
"728","Ctenomys_pundti",0.151471615064777,0.0657730024141182,2.25149221456958,-0.438375066261037,0.212538302925383,-0.170404673232572,-0.0716514383057154,"T",0.818738751180094,-0.240661514750014,"Ctenomys_pundti","4263380"
"729","Ctenomys_talarum",0.295022461409523,0.0168621186751825,2.11700599663597,-0.269116978897677,0.284760475880927,-0.124014807117828,-0.0131605580176007,"T",0.53872406300039,0.0404113335157728,"Ctenomys_talarum","2439621"
