"","Species","UniqueID","Plot","Plot2","Major_taxa","Order","Mass_g","Productivity_g_yr","Growth_rate_per_yr","Trophic","Group","Family","Genus","Reference","Notes","Notes_measure","X","X.1","GBIF_ID"
"116","Oryctolagus cuniculus",994,1,1,"Mammal","Lagomorpha",1439,417.31,0.29,"Herbivore","Eutherian","Leporidae","Oryctolagus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2436940"
"117","Oryx leucoryx",165,1,1,"Mammal","Artiodactyla",147808.7009,37247.79263,0.252,"Herbivore","Eutherian","Bovidae","Oryx","Stanley-Price 1989; after Duncan et al. 2007, method: count","","",NA,NA,"5220164"
"118","Ovibos moschatus",169,1,1,"Mammal","Artiodactyla",227143.3361,49971.53394,0.22,"Herbivore","Eutherian","Bovidae","Ovibos","La Henaff and Crete 1989; after Duncan et al. 2007, method: count","","",NA,NA,"2441108"
"119","Ovis aries",172,1,1,"Mammal","Artiodactyla",34641.7641,11951.40861,0.345,"Herbivore","Eutherian","Bovidae","Ovis","Clutton-Brock et al. 1991; after Duncan et al. 2007, method: count","","",NA,NA,"2441110"
"120","Ovis canadensis",174,1,1,"Mammal","Artiodactyla",67889.09198,23761.18219,0.35,"Herbivore","Eutherian","Bovidae","Ovis","McCullough 1992; after Duncan et al. 2007, method: count","","",NA,NA,"2441119"
"121","Pagophilus groenlandicus",441,1,2,"Mammal","Carnivora",180000,138600,0.77,"Carnivore","Eutherian","Phocidae","Pagophilus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2434801"
"122","Pan troglodytes schweinfurthi",1208,1,9,"Mammal","Primate",44984,33288.16,0.74,"Omnivore","Eutherian","Hominidae","Pan","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"5707421"
"123","Panthera leo",443,1,2,"Mammal","Carnivora",135500,18970,0.14,"Carnivore","Eutherian","Felidae","Panthera","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","African ecosystems","",NA,NA,"5219404"
"124","Pekania pennanti",388,1,2,"Mammal","Carnivora",2375,760,0.32,"Carnivore","Eutherian","Mustelidae","Martes","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"8631083"
"125","Peromyscus eremicus",1522,1,9,"Mammal","Rodentia",21,17.01,0.81,"Omnivore","Eutherian","Muridae","Peromyscus","From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax)","","",NA,NA,"2437981"
