"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr","GBIF_ID"
"848","Psammomys obesus",1437,1,1,"Mammal","Rodentia",212,0.78125,"Herbivore","Eutherian",1.28,"5219747"
"849","Pseudantechinus macdonnellensis",743,1,2,"Mammal","Dasyuromorphia",32.5,0.357142857,"Carnivore","Marsupial",2.80000000112,"2435382"
"850","Pseudocheirus peregrinus",264,1,1,"Mammal","Diprotodontia",883.333333333333,0.402841584,"Herbivore","Marsupial",2.48236537566588,"2440062"
"851","Pseudois nayaur",18410,1,1,"Mammal","Artiodactyla",59500,0.1123086125,"Herbivore","Eutherian",8.90403663387792,"2441008"
"852","Pseudomys australis",1438,1,1,"Mammal","Rodentia",65,0.316455696,"Herbivore","Eutherian",3.1600000020224,"5219792"
"853","Pseudomys chapmani",1439,1,1,"Mammal","Rodentia",12,0.367647059,"Herbivore","Eutherian",2.7199999986944,"5219801"
"854","Pseudomys fumeus",1440,1,1,"Mammal","Rodentia",70,0.384615385,"Herbivore","Eutherian",2.5999999974,"5219786"
"855","Pseudomys laborifex",1441,1,1,"Mammal","Rodentia",12,0.362318841,"Herbivore","Eutherian",2.7599999967984,"5219805"
"856","Pseudomys shortridgei",1442,1,1,"Mammal","Rodentia",64,0.416666667,"Herbivore","Eutherian",2.39999999808,"5219793"
"857","Pseudorca crassidens",852,1,2,"Mammal","Cetacea",1054000,0.0775,"Carnivore","Eutherian",12.9032258064516,"2440440"
"858","Pteromys volans",1443,1,1,"Mammal","Rodentia",130,0.219298246,"Herbivore","Eutherian",4.5599999919744,"2437258"
"859","Pteronura brasiliensis",497,1,2,"Mammal","Carnivora",24000,0.144508671,"Carnivore","Eutherian",6.9199999770256,"2433681"
"860","Pteropus alecto",692,1,1,"Mammal","Chiroptera",672.1,0.126903553,"Herbivore","Eutherian",7.8800000185968,"5218686"
"861","Pteropus dasymallus",693,1,1,"Mammal","Chiroptera",435,0.104166667,"Herbivore","Eutherian",9.59999996928,"5218670"
"862","Pteropus giganteus",694,1,1,"Mammal","Chiroptera",1175,0.0625,"Herbivore","Eutherian",16,"5218642"
"863","Pteropus hypomelanus",695,1,1,"Mammal","Chiroptera",450,0.123152709,"Herbivore","Eutherian",8.1200000237104,"5218662"
"864","Pteropus livingstonii",696,1,1,"Mammal","Chiroptera",696.5,0.166666667,"Herbivore","Eutherian",5.999999988,"5218694"
"865","Pteropus lylei",697,1,1,"Mammal","Chiroptera",316.7,0.12254902,"Herbivore","Eutherian",8.159999973888,"5218678"
"866","Pteropus niger",698,1,1,"Mammal","Chiroptera",456.3,0.128865979,"Herbivore","Eutherian",7.7600000229696,"5218652"
"867","Pteropus poliocephalus",699,1,1,"Mammal","Chiroptera",675,0.105932203,"Herbivore","Eutherian",9.4400000347392,"5218655"
"868","Pteropus pumilus",700,1,1,"Mammal","Chiroptera",200,0.145348837,"Herbivore","Eutherian",6.8800000099072,"5218696"
"869","Pteropus rodricensis",701,1,1,"Mammal","Chiroptera",350,0.089285714,"Herbivore","Eutherian",11.20000003584,"5218645"
"870","Pteropus scapulatus",702,1,1,"Mammal","Chiroptera",300,0.158227848,"Herbivore","Eutherian",6.3200000040448,"5218649"
"871","Pteropus vampyrus",703,1,1,"Mammal","Chiroptera",872,0.119617225,"Herbivore","Eutherian",8.35999999164,"5218644"
"872","Pudu puda",194,1,1,"Mammal","Artiodactyla",10000,0.136612022,"Herbivore","Eutherian",7.3199999923872,"2440911"
"873","Puma concolor",498,1,2,"Mammal","Carnivora",63000,0.105042017,"Carnivore","Eutherian",9.5199999824832,"2435099"
"874","Puma yagouaroundi",499,1,2,"Mammal","Carnivora",7000,0.134408602,"Carnivore","Eutherian",7.4400000083328,"2435146"
"875","Pusa hispida",500,1,2,"Mammal","Carnivora",90000,0.054347826,"Carnivore","Eutherian",18.40000002944,"5219369"
"876","Pusa sibirica",501,1,2,"Mammal","Carnivora",90000,0.044642857,"Carnivore","Eutherian",22.40000007168,"5219368"
"877","Pygathrix nemaeus",1179,1,9,"Mammal","Primate",9720,0.096153846,"Omnivore","Eutherian",10.40000001664,"2436529"
"878","Rangifer tarandus",18510,1,1,"Mammal","Artiodactyla",94875,0.169113149833333,"Herbivore","Eutherian",5.91320072380849,"5220114"
"879","Raphicerus campestris",201,1,1,"Mammal","Artiodactyla",13000,0.268817204,"Herbivore","Eutherian",3.7200000041664,"2441141"
"880","Rattus fuscipes",1444,1,9,"Mammal","Rodentia",130,0.471698113,"Omnivore","Eutherian",2.1200000009328,"2439233"
"881","Rattus lutreolus",1445,1,9,"Mammal","Rodentia",115,0.568181818,"Omnivore","Eutherian",1.7600000005632,"2439240"
"882","Rattus norvegicus",1446,1,9,"Mammal","Rodentia",300,0.657894737,"Omnivore","Eutherian",1.5199999996352,"2439261"
"883","Rattus rattus",1447,1,9,"Mammal","Rodentia",200,0.595238095,"Omnivore","Eutherian",1.680000000672,"2439270"
"884","Ratufa bicolor",1448,1,1,"Mammal","Rodentia",2000,0.131578947,"Herbivore","Eutherian",7.60000002128,"2437566"
"885","Ratufa indica",1449,1,1,"Mammal","Rodentia",2000,0.125,"Herbivore","Eutherian",8,"2437565"
"886","Redunca arundinum",202,1,1,"Mammal","Artiodactyla",58000,0.148809524,"Herbivore","Eutherian",6.7199999913984,"2441037"
"887","Redunca fulvorufula",18610,1,1,"Mammal","Artiodactyla",29750,0.1898333335,"Herbivore","Eutherian",5.26777874866745,"2441036"
"888","Reithrodon auritus",1450,1,1,"Mammal","Rodentia",72.2,0.454545455,"Herbivore","Eutherian",2.1999999978,"2438374"
"889","Rhabdomys pumilio",1451,1,1,"Mammal","Rodentia",51,0.555555556,"Herbivore","Eutherian",1.79999999856,"2438736"
"890","Rhinoceros unicornis",187,1,1,"Mammal","Perissodactyla",1600582.5,0.056867816,"Herbivore","Eutherian",17.5846387348514,"5220113"
"891","Rhinolophus euryale",704,1,2,"Mammal","Chiroptera",8.2,0.076923077,"Carnivore","Eutherian",12.999999987,"2432621"
"892","Rhinolophus ferrumequinum",705,1,2,"Mammal","Chiroptera",22.875,0.032786885,"Carnivore","Eutherian",30.50000022875,"2432655"
"893","Rhinolophus hipposideros",706,1,2,"Mammal","Chiroptera",4.6,0.034013605,"Carnivore","Eutherian",29.4000003822,"2432614"
"894","Rhinopithecus roxellana",1180,1,9,"Mammal","Primate",14750,0.084745763,"Omnivore","Eutherian",11.79999995988,"7262005"
"895","Rhombomys opimus",1452,1,1,"Mammal","Rodentia",285,0.555555556,"Herbivore","Eutherian",1.79999999856,"2437935"
"896","Rhynchocyon chrysopygus",861,1,2,"Mammal","Macroscelidea",540,0.4471363635,"Carnivore","Eutherian",2.23645420419939,"5220103"
"897","Rousettus aegyptiacus",707,1,1,"Mammal","Chiroptera",125,0.043668122,"Herbivore","Eutherian",22.90000014198,"2432953"
"898","Rousettus lanosus",708,1,1,"Mammal","Chiroptera",103,0.13368984,"Herbivore","Eutherian",7.479999976064,"2432947"
"899","Rousettus leschenaultii",709,1,1,"Mammal","Chiroptera",108.25,0.178571429,"Herbivore","Eutherian",5.59999998656,"7261759"
"900","Rucervus duvaucelii",205,1,1,"Mammal","Artiodactyla",170000,0.102040816,"Herbivore","Eutherian",9.80000003136,"7261380"
"901","Rucervus eldii",206,1,1,"Mammal","Artiodactyla",122500,0.12195122,"Herbivore","Eutherian",8.1999999672,"7261381"
"902","Rupicapra rupicapra",188,1,1,"Mammal","Artiodactyla",35500,0.162681818333333,"Herbivore","Eutherian",6.14696842120986,"5220170"
"903","Rusa alfredi",210,1,1,"Mammal","Artiodactyla",46475,0.135135135,"Herbivore","Eutherian",7.4000000074,"4262394"
"904","Rusa timorensis",211,1,1,"Mammal","Artiodactyla",63000,0.118483412,"Herbivore","Eutherian",8.4400000229568,"4262397"
"905","Rusa unicolor",212,1,1,"Mammal","Artiodactyla",185000,0.09469697,"Herbivore","Eutherian",10.559999966208,"7261386"
"906","Saccopteryx bilineata",710,1,2,"Mammal","Chiroptera",7.9,0.166666667,"Carnivore","Eutherian",5.999999988,"5218731"
"907","Saccostomus campestris",1453,1,9,"Mammal","Rodentia",47.4,0.555555556,"Omnivore","Eutherian",1.79999999856,"2438948"
"908","Saguinus bicolor",1181,1,9,"Mammal","Primate",495.8,0.131578947,"Omnivore","Eutherian",7.60000002128,"2436470"
"909","Saguinus caffer",23410,1,9,"Mammal","Primate",469000,0.0493333333333333,"Omnivore","Eutherian",20.2702702702703,"2436465"
"910","Saguinus geoffroyi",1185,1,9,"Mammal","Primate",499.3,0.12195122,"Omnivore","Eutherian",8.1999999672,"2436466"
"911","Saguinus imperator",1186,1,9,"Mammal","Primate",518.5,0.105485232,"Omnivore","Eutherian",9.4800000060672,"2436471"
"912","Saguinus labiatus",1187,1,9,"Mammal","Primate",501.3,0.12195122,"Omnivore","Eutherian",8.1999999672,"9178968"
"913","Saguinus leucopus",1188,1,9,"Mammal","Primate",490,0.164473684,"Omnivore","Eutherian",6.0800000077824,"2436476"
"914","Saguinus midas",1189,1,9,"Mammal","Primate",553.8,0.119047619,"Omnivore","Eutherian",8.40000000336,"2436468"
"915","Saguinus mystax",1190,1,9,"Mammal","Primate",543.5,0.125,"Omnivore","Eutherian",8,"2436472"
"916","Saguinus nigricollis",1191,1,9,"Mammal","Primate",462,0.256,"Omnivore","Eutherian",3.90625,"2436477"
"917","Saguinus oedipus",1192,1,9,"Mammal","Primate",445.5,0.095419847,"Omnivore","Eutherian",10.4800000360512,"2436469"
"918","Saiga tatarica",189,1,1,"Mammal","Artiodactyla",40000,0.2345,"Herbivore","Eutherian",4.26439232409382,"2441067"
"919","Saimiri boliviensis",1193,1,9,"Mammal","Primate",615,0.082508251,"Omnivore","Eutherian",12.1199999743056,"2436663"
"920","Saimiri sciureus",23510,1,9,"Mammal","Primate",834,0.1013907285,"Omnivore","Eutherian",9.86283474627564,"2436661"
"921","Sapajus apella",1196,1,9,"Mammal","Primate",2642.5,0.054347826,"Omnivore","Eutherian",18.40000002944,"7477334"
