"","Species","X","Plot","Plot2","Major_taxa","Order","Mass_g","CombAll","CombPlot2","CombOrder","CombSpecies","Density_Nm2","Trophic","Group","GBIF_ID"
"398","Oryzomys macconnelli",2549,1,1,"Mammal","Rodentia",76.5,2.76527285801595e-05,2.71381799728535e-05,2.76527285801595e-05,NA,5.88e-05,"Herbivore","Eutherian","2438084"
"399","Oryzomys nigripes",2550,1,1,"Mammal","Rodentia",24.1,0.000531260014149424,0.00048984768465933,0.000531260014149424,NA,0.002455,"Herbivore","Eutherian","12372844"
"400","Oryzomys oniscus",2551,1,1,"Mammal","Rodentia",40,6.08351369796125e-05,5.76488621292525e-05,6.08351369796125e-05,NA,2e-04,"Herbivore","Eutherian","2438074"
"401","Oryzomys palustris",2552,1,1,"Mammal","Rodentia",59,0.000750423340016203,0.000726201851208307,0.000750423340016203,NA,0.0019,"Herbivore","Eutherian","2438095"
"402","Oryzomys spp.",2010,1,1,"Mammal","Lagomorpha",48,9.1110679235657e-05,9.1110679235657e-05,NA,NA,0.0002769,"Herbivore","Eutherian","2438064"
"403","Oryzomys subflavus",2553,1,1,"Mammal","Rodentia",50,3.53384928492212e-05,3.38935776520767e-05,3.53384928492212e-05,NA,1e-04,"Herbivore","Eutherian","2438066"
"404","Otocyon megalotis",2554,1,2,"Mammal","Rodentia",3750,1.20905774000464e-05,1.4401409672351e-05,1.20905774000464e-05,NA,1.88e-06,"Carnivore","Eutherian","2434349"
"405","Otomys angoniensis",2555,1,1,"Mammal","Rodentia",136,0.00205605522822952,0.00208147350459786,0.00205605522822952,NA,0.00297,"Herbivore","Eutherian","5219872"
"406","Otomys irroratus",136,1,1,"Mammal","Rodentia",108.5,0.000985446,0.00123663538585949,0.0012365265730683,0.000985446,0.002079,"Herbivore","Eutherian","5219869"
"407","Ourebia ourebi",137,1,1,"Mammal","Artiodactyla",13031.5789473684,3.78869086605946e-06,2.88644404681946e-06,3.78869086605946e-06,NA,1.50041052631579e-07,"Herbivore","Eutherian","2441135"
