,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Trophic,Group,rmax
1291,1,9,Mammal,Rodentia,Chaetodipus fallax,18.7,13.8,Omnivore,Eutherian,0.737967914
1594,1,9,Mammal,Rodentia,Chaetodipus formosus,19.45,44.24,Omnivore,Eutherian,2.274550129
1294,1,9,Mammal,Rodentia,Chaetodipus penicillatus,17,19.72,Omnivore,Eutherian,1.16
1635,1,1,Mammal,Rodentia,Chinchilla lanigera,552.2045744,678.1072174,Herbivore,Eutherian,1.228
1297,1,1,Mammal,Rodentia,Clethrionomys gapperi,20.56666667,150.0949682,Herbivore,Eutherian,7.297972521
176,1,1,Mammal,Rodentia,Clethrionomys glareolus,19.64264646,134.4735577,Herbivore,Eutherian,6.846000002
1300,1,1,Mammal,Rodentia,Coendou mexicanus,2000,340,Herbivore,Eutherian,0.17
1301,1,1,Mammal,Rodentia,Coendou prehensilis,3900,866,Herbivore,Eutherian,0.222051282
1302,1,1,Mammal,Rodentia,Coendou rothschildi,2000,340,Herbivore,Eutherian,0.17
1303,1,1,Mammal,Rodentia,Cricetomys gambianus,1500,2360,Herbivore,Eutherian,1.573333333
19110,1,1,Mammal,Rodentia,Cricetus cricetus,510,1624.248083,Herbivore,Eutherian,3.184800163
1306,1,1,Mammal,Rodentia,Cryptomys damarensis,180,83.8,Herbivore,Eutherian,0.465555556
195,1,1,Mammal,Rodentia,Cryptomys hottentotus,132.5,111.6428571,Herbivore,Eutherian,0.842587601
1309,1,1,Mammal,Rodentia,Ctenodactylus gundi,288.8,123,Herbivore,Eutherian,0.425900277
1310,1,1,Mammal,Rodentia,Cuniculus paca,9000,3410,Herbivore,Eutherian,0.378888889
204,1,1,Mammal,Rodentia,Cynomys ludovicianus,1018.356876,773.9512258,Herbivore,Eutherian,0.76
2141,1,1,Mammal,Rodentia,Dasyprocta leporina,2670.545612,2937.600173,Herbivore,Eutherian,1.1
21510,1,1,Mammal,Rodentia,Dasyprocta punctata,2150,1480,Herbivore,Eutherian,0.688372093
230,1,1,Mammal,Rodentia,Dicrostonyx groenlandicus,54.4,187.88125,Herbivore,Eutherian,3.453699449
1320,1,1,Mammal,Rodentia,Dicrostonyx torquatus,85,207.315,Herbivore,Eutherian,2.439
1321,1,1,Mammal,Rodentia,Diplomys labilis,396,182.16,Herbivore,Eutherian,0.46
1322,1,1,Mammal,Rodentia,Dipodomys deserti,145,325.052,Herbivore,Eutherian,2.241737931
1323,1,1,Mammal,Rodentia,Dipodomys heermanni,60,178.997,Herbivore,Eutherian,2.983283333
234,1,1,Mammal,Rodentia,Dipodomys merriami,39,66.60622222,Herbivore,Eutherian,1.707851852
1327,1,1,Mammal,Rodentia,Dipodomys microps,55.16,50.4,Herbivore,Eutherian,0.913705584
235,1,1,Mammal,Rodentia,Dipodomys ordii,57,71,Herbivore,Eutherian,1.245614035
236,1,1,Mammal,Rodentia,Dipodomys spectabilis,119.6,160.59,Herbivore,Eutherian,1.342725753
1332,1,1,Mammal,Rodentia,Dolichotis patagonum,12500,13600,Herbivore,Eutherian,1.088
1333,1,1,Mammal,Rodentia,Eliomys quercinus,82.5,67.2,Herbivore,Eutherian,0.814545455
252,1,1,Mammal,Rodentia,Erethizon dorsatum,6980.716486,2792.286594,Herbivore,Eutherian,0.4
1336,1,1,Mammal,Rodentia,Erethizon dorsatus,8600,1810,Herbivore,Eutherian,0.210465116
1337,1,1,Mammal,Rodentia,Galea musteloides,337.9,684,Herbivore,Eutherian,2.024267535
1338,1,1,Mammal,Rodentia,Galea spixii,450,862,Herbivore,Eutherian,1.915555556
1339,1,1,Mammal,Rodentia,Geocapromys brownii,1500,955,Herbivore,Eutherian,0.636666667
290,1,1,Mammal,Rodentia,Geomys bursarius,176.7,164,Herbivore,Eutherian,0.928126769
291,1,1,Mammal,Rodentia,Georychus capensis,181,428.4,Herbivore,Eutherian,2.366850829
1344,1,1,Mammal,Rodentia,Gerbilliscus afra,74.8,159,Herbivore,Eutherian,2.125668449
1345,1,1,Mammal,Rodentia,Gerbilliscus validus,113,162,Herbivore,Eutherian,1.433628319
293,1,1,Mammal,Rodentia,Gerbillus pyramidum,37,183.8375,Herbivore,Eutherian,4.968581081
29510,1,9,Mammal,Rodentia,Glaucomys sabrinus,139,108.384,Omnivore,Eutherian,0.779741007
296,1,9,Mammal,Rodentia,Glaucomys volans,65.75,219.373,Omnivore,Eutherian,3.336471483
1354,1,1,Mammal,Rodentia,Glis glis,125,96.7,Herbivore,Eutherian,0.7736
1355,1,1,Mammal,Rodentia,Grammomys dolichurus,60,149,Herbivore,Eutherian,2.483333333
1356,1,1,Mammal,Rodentia,Habromys lophorus,27,68.31,Herbivore,Eutherian,2.53
310,1,1,Mammal,Rodentia,Heterocephalus glaber,35,344.575,Herbivore,Eutherian,9.845
1359,1,1,Mammal,Rodentia,Heteromys desmarestianus,66.5,216.79,Herbivore,Eutherian,3.26
1360,1,1,Mammal,Rodentia,Heteromys gaumeri,57,92.91,Herbivore,Eutherian,1.63
1361,1,1,Mammal,Rodentia,Heteromys goldmani,79.5,148.665,Herbivore,Eutherian,1.87
1362,1,1,Mammal,Rodentia,Heteromys nelsoni,85,155.55,Herbivore,Eutherian,1.83
1363,1,1,Mammal,Rodentia,Heteromys oresterus,81,150.66,Herbivore,Eutherian,1.86
1364,1,1,Mammal,Rodentia,Hoplomys gymnurus,455,300.3,Herbivore,Eutherian,0.66
318,1,1,Mammal,Rodentia,Hydrochaeris hydrochaeris,35751.97187,24668.86059,Herbivore,Eutherian,0.69
1368,1,1,Mammal,Rodentia,Hydrochoerus hydrochaeris,55000,38200,Herbivore,Eutherian,0.694545455
3192,1,2,Mammal,Rodentia,Hydromys chrysogaster,606,1205.02125,Carnivore,Eutherian,1.988483911
1371,1,1,Mammal,Rodentia,Hystrix africaeaustralis,24000,14700,Herbivore,Eutherian,0.6125
1372,1,1,Mammal,Rodentia,Ichthyomys tweedii,139,216.84,Herbivore,Eutherian,1.56
1373,1,1,Mammal,Rodentia,Ictidomys tridecemlineatus,172.7,164,Herbivore,Eutherian,0.949623625
1374,1,9,Mammal,Rodentia,Isthmomys pirrensis,104,98.8,Omnivore,Eutherian,0.95
324,1,9,Mammal,Rodentia,Jaculus jaculus,55,130,Omnivore,Eutherian,2.363636364
1377,1,1,Mammal,Rodentia,Kerodon rupestris,950,1090,Herbivore,Eutherian,1.147368421
1378,1,1,Mammal,Rodentia,Lagidium peruanum,1252,751.2,Herbivore,Eutherian,0.6
3316,1,1,Mammal,Rodentia,Lagostomus maximus,6000,3830,Herbivore,Eutherian,0.638333333
1382,1,1,Mammal,Rodentia,Lagurus lagurus,20.3,48,Herbivore,Eutherian,2.36453202
1383,1,1,Mammal,Rodentia,Lasiopodomys brandtii,40,82.8,Herbivore,Eutherian,2.07
1384,1,1,Mammal,Rodentia,Lemmus lemmus,70,153,Herbivore,Eutherian,2.185714286
3461,1,1,Mammal,Rodentia,Lemniscomys striatus,42.125,132.825,Herbivore,Eutherian,3.153115727
1387,1,1,Mammal,Rodentia,Liomys adspersus,69,59.34,Herbivore,Eutherian,0.86
1388,1,1,Mammal,Rodentia,Liomys pictus,44.5,117.035,Herbivore,Eutherian,2.63
1389,1,1,Mammal,Rodentia,Liomys salvini,47.5,69.35,Herbivore,Eutherian,1.46
1390,1,1,Mammal,Rodentia,Marmota caligata,4300,1510,Herbivore,Eutherian,0.351162791
394,1,1,Mammal,Rodentia,Marmota flaviventris,2510,1916.243117,Herbivore,Eutherian,0.763443473
1394,1,1,Mammal,Rodentia,Marmota marmota,3500,1820,Herbivore,Eutherian,0.52
395,1,1,Mammal,Rodentia,Marmota monax,4000,2510,Herbivore,Eutherian,0.6275
1397,1,1,Mammal,Rodentia,Marmota vancouverensis,4750,1290,Herbivore,Eutherian,0.271578947
1398,1,1,Mammal,Rodentia,Mastomys natalensis,44.5875,376.6356333,Herbivore,Eutherian,8.447112606
1399,1,1,Mammal,Rodentia,Melanomys caliginosus,57,127.68,Herbivore,Eutherian,2.24
1400,1,1,Mammal,Rodentia,Melomys cervinipes,78,56.875,Herbivore,Eutherian,0.729166667
1401,1,1,Mammal,Rodentia,Meriones crassus,35,51.1,Herbivore,Eutherian,1.46
1402,1,1,Mammal,Rodentia,Meriones hurrianae,70,320.005,Herbivore,Eutherian,4.5715
411,1,1,Mammal,Rodentia,Meriones unguiculatus,53.25,280.839936,Herbivore,Eutherian,5.273989408
412,1,1,Mammal,Rodentia,Mesembriomys gouldii,900,3434.365496,Herbivore,Eutherian,3.815961662
4131,1,9,Mammal,Rodentia,Mesocricetus auratus,105,738.8310577,Omnivore,Eutherian,7.036486264
1409,1,9,Mammal,Rodentia,Mesocricetus brandti,174,422,Omnivore,Eutherian,2.425287356
1410,1,9,Mammal,Rodentia,Micromys minutus,6,11.5,Omnivore,Eutherian,1.916666667
1411,1,1,Mammal,Rodentia,Microsciurus alfari,88.5,168.15,Herbivore,Eutherian,1.9
1412,1,1,Mammal,Rodentia,Microsciurus mimulus,120,207.6,Herbivore,Eutherian,1.73
418,1,1,Mammal,Rodentia,Microtus agrestis,30.62668558,211.9366642,Herbivore,Eutherian,6.92
419,1,1,Mammal,Rodentia,Microtus arvalis,27.5,252.694619,Herbivore,Eutherian,9.188895236
420,1,1,Mammal,Rodentia,Microtus californicus,48,399.15625,Herbivore,Eutherian,8.315755208
1426,1,1,Mammal,Rodentia,Microtus canicaudus,35.3,121.093375,Herbivore,Eutherian,3.430407224
1427,1,1,Mammal,Rodentia,Microtus guatemalensis,33.5,6.7,Herbivore,Eutherian,0.2
421,1,1,Mammal,Rodentia,Microtus guentheri,51.6,298,Herbivore,Eutherian,5.775193798
422,1,1,Mammal,Rodentia,Microtus montanus,42,202.4726625,Herbivore,Eutherian,4.820777679
423,1,1,Mammal,Rodentia,Microtus ochrogaster,42.5,253.474722,Herbivore,Eutherian,5.964111106
424,1,1,Mammal,Rodentia,Microtus oeconomus,65,317.575788,Herbivore,Eutherian,4.885781354
1436,1,1,Mammal,Rodentia,Microtus orcadnesis,30,112.785,Herbivore,Eutherian,3.7595
425,1,1,Mammal,Rodentia,Microtus oregoni,20.5,142.89,Herbivore,Eutherian,6.970243902
4261,1,1,Mammal,Rodentia,Microtus pennsylvanicus,38.80610014,232.8366008,Herbivore,Eutherian,5.999999999
427,1,1,Mammal,Rodentia,Microtus pinetorum,28,76.18935333,Herbivore,Eutherian,2.721048333
1444,1,1,Mammal,Rodentia,Microtus richardsoni,106.2,360.644,Herbivore,Eutherian,3.395894539
1445,1,1,Mammal,Rodentia,Microtus subterraneus,19.5,101.08352,Herbivore,Eutherian,5.183770256
1446,1,1,Mammal,Rodentia,Microtus townsendii,53.57966575,331.2294937,Herbivore,Eutherian,6.182000001
4391,1,9,Mammal,Rodentia,Mus minutoides,7.25,51.21333333,Omnivore,Eutherian,7.063908046
4401,1,9,Mammal,Rodentia,Mus musculus,21,244.5424773,Omnivore,Eutherian,11.64487987
1454,1,1,Mammal,Rodentia,Muscardinus avellanarius,27.3,22.9,Herbivore,Eutherian,0.838827839
448,1,1,Mammal,Rodentia,Myocastor coypus,5300,16710.38557,Herbivore,Eutherian,3.152902938
1457,1,1,Mammal,Rodentia,Myodes gapperi,21,29.19,Herbivore,Eutherian,1.39
449,1,1,Mammal,Rodentia,Myodes glareolus,20.8,39.9,Herbivore,Eutherian,1.918269231
1460,1,1,Mammal,Rodentia,Myodes rufocanus,18,25.56,Herbivore,Eutherian,1.42
1461,1,1,Mammal,Rodentia,Myoprocta acouchy,910,946.4,Herbivore,Eutherian,1.04
1462,1,1,Mammal,Rodentia,Myopus schisticolor,25,144.7625,Herbivore,Eutherian,5.7905
1463,1,9,Mammal,Rodentia,Mystromys albicaudatus,106,250,Omnivore,Eutherian,2.358490566
4561,1,9,Mammal,Rodentia,Napaeozapus insignis,21.5,52.41111111,Omnivore,Eutherian,2.437726098
1466,1,1,Mammal,Rodentia,Neacomys pictus,17.5,50.225,Herbivore,Eutherian,2.87
462,1,1,Mammal,Rodentia,Neotoma albigula,198,334.09125,Herbivore,Eutherian,1.687329545
1470,1,1,Mammal,Rodentia,Neotoma cinerea,271,795.8035367,Herbivore,Eutherian,2.936544416
463,1,1,Mammal,Rodentia,Neotoma floridana,291,418,Herbivore,Eutherian,1.436426117
464,1,1,Mammal,Rodentia,Neotoma lepida,236,353,Herbivore,Eutherian,1.495762712
1475,1,1,Mammal,Rodentia,Neotoma mexicana,202,163.62,Herbivore,Eutherian,0.81
1476,1,1,Mammal,Rodentia,Neotoma micropus,227,214.4544,Herbivore,Eutherian,0.94473304
1477,1,1,Mammal,Rodentia,Neotoma stephensi,142,73.71,Herbivore,Eutherian,0.519084507
1478,1,9,Mammal,Rodentia,Notomys alexis,35,98.2,Omnivore,Eutherian,2.805714286
1479,1,9,Mammal,Rodentia,Notomys mitchellii,52,133,Omnivore,Eutherian,2.557692308
1480,1,1,Mammal,Rodentia,Nyctomys sumichrasti,53.5,59.92,Herbivore,Eutherian,1.12
4731,1,1,Mammal,Rodentia,Octodon degus,235,661.0722222,Herbivore,Eutherian,2.813073286
1484,1,1,Mammal,Rodentia,Oecomys bicolor,33,72.93,Herbivore,Eutherian,2.21
1485,1,1,Mammal,Rodentia,Oecomys trinitatis,66,119.46,Herbivore,Eutherian,1.81
1486,1,1,Mammal,Rodentia,Oligoryzomys fulvescens,13.5,54.405,Herbivore,Eutherian,4.03
1487,1,1,Mammal,Rodentia,Oligoryzomys vegetus,15,58.5,Herbivore,Eutherian,3.9
4781,1,1,Mammal,Rodentia,Ondatra zibethicus,1169.75,2559.410157,Herbivore,Eutherian,2.18799757
480,1,9,Mammal,Rodentia,Onychomys leucogaster,33,150.48,Omnivore,Eutherian,4.56
481,1,9,Mammal,Rodentia,Onychomys torridus,22,97.9,Omnivore,Eutherian,4.45
1498,1,1,Mammal,Rodentia,Orthogeomys cherriei,348.5,407.745,Herbivore,Eutherian,1.17
1499,1,1,Mammal,Rodentia,Orthogeomys grandis,831,531.84,Herbivore,Eutherian,0.64
1500,1,1,Mammal,Rodentia,Orthogeomys hispidus,382,435.48,Herbivore,Eutherian,1.14
1501,1,1,Mammal,Rodentia,Oryzomys albigularis,96,155.52,Herbivore,Eutherian,1.62
1502,1,1,Mammal,Rodentia,Oryzomys alfari,87,164.43,Herbivore,Eutherian,1.89
1503,1,1,Mammal,Rodentia,Oryzomys alfaroi,33,72.93,Herbivore,Eutherian,2.21
1504,1,1,Mammal,Rodentia,Oryzomys bolivaris,57,106.02,Herbivore,Eutherian,1.86
1505,1,1,Mammal,Rodentia,Oryzomys couesi,62.5,148.125,Herbivore,Eutherian,2.37
1506,1,1,Mammal,Rodentia,Oryzomys dimidiatus,46,105.34,Herbivore,Eutherian,2.29
1507,1,1,Mammal,Rodentia,Oryzomys palustris,62.5,431.5666667,Herbivore,Eutherian,6.905066667
1508,1,1,Mammal,Rodentia,Oryzomys rostratus,43.5,105.705,Herbivore,Eutherian,2.43
1509,1,1,Mammal,Rodentia,Oryzomys talamancae,60.5,148.225,Herbivore,Eutherian,2.45
1510,1,1,Mammal,Rodentia,Otomys irroratus,143.7,226.695,Herbivore,Eutherian,1.577557411
1511,1,1,Mammal,Rodentia,Otonyctomys hatti,33,78.54,Herbivore,Eutherian,2.38
1512,1,1,Mammal,Rodentia,Ototylomys phyllotis,59,136.29,Herbivore,Eutherian,2.31
1513,1,1,Mammal,Rodentia,Pedetes capensis,3500,1450,Herbivore,Eutherian,0.414285714
5231,1,1,Mammal,Rodentia,Perognathus longimembris,9,28.34619048,Herbivore,Eutherian,3.14957672
1516,1,1,Mammal,Rodentia,Perognathus parvus,20.1,27.2,Herbivore,Eutherian,1.353233831
1517,1,9,Mammal,Rodentia,Peromyscus aztecus,45,73.8,Omnivore,Eutherian,1.64
5241,1,9,Mammal,Rodentia,Peromyscus californicus,38,185.8368889,Omnivore,Eutherian,4.890444445
5251,1,9,Mammal,Rodentia,Peromyscus crinitus,17,84.99573333,Omnivore,Eutherian,4.999749019
526,1,9,Mammal,Rodentia,Peromyscus eremicus,25,35.2,Omnivore,Eutherian,1.408
1524,1,9,Mammal,Rodentia,Peromyscus grandis,65,69.55,Omnivore,Eutherian,1.07
1525,1,9,Mammal,Rodentia,Peromyscus guatamalensis,54,84.24,Omnivore,Eutherian,1.56
1526,1,9,Mammal,Rodentia,Peromyscus gymnotis,35.5,67.095,Omnivore,Eutherian,1.89
527,1,9,Mammal,Rodentia,Peromyscus leucopus,23,165.3688021,Omnivore,Eutherian,7.189947917
1529,1,9,Mammal,Rodentia,Peromyscus levipes,23,39.1,Omnivore,Eutherian,1.7
528,1,9,Mammal,Rodentia,Peromyscus maniculatus,19.77777778,143.9436907,Omnivore,Eutherian,7.278051776
1533,1,9,Mammal,Rodentia,Peromyscus mayensis,32,33.92,Omnivore,Eutherian,1.06
1534,1,9,Mammal,Rodentia,Peromyscus melanophrys,38,80.56,Omnivore,Eutherian,2.12
1535,1,9,Mammal,Rodentia,Peromyscus mexicanus,41.5,68.06,Omnivore,Eutherian,1.64
529,1,9,Mammal,Rodentia,Peromyscus polionotus,13.66666667,48.70769697,Omnivore,Eutherian,3.563977826
1538,1,9,Mammal,Rodentia,Peromyscus spp.,20,76.65,Omnivore,Eutherian,3.8325
1539,1,9,Mammal,Rodentia,Peromyscus stirtoni,30,68.1,Omnivore,Eutherian,2.27
530,1,9,Mammal,Rodentia,Peromyscus truei,27,125.530125,Omnivore,Eutherian,4.649263889
1542,1,9,Mammal,Rodentia,Peromyscus yucatanicus,21.5,49.02,Omnivore,Eutherian,2.28
1543,1,9,Mammal,Rodentia,Peromyscus zarhyncus,64,68.48,Omnivore,Eutherian,1.07
1544,1,1,Mammal,Rodentia,Phenacomys intermedius,32.5,160.9275709,Herbivore,Eutherian,4.951617566
554,1,9,Mammal,Rodentia,Phodopus sungorus,23.4,258.8964,Omnivore,Eutherian,11.06394872
1547,1,9,Mammal,Rodentia,Phyllotis darwini,47.02188121,141.0656436,Omnivore,Eutherian,2.999999999
1548,1,1,Mammal,Rodentia,Poliocitellus franklinii,459,427,Herbivore,Eutherian,0.930283224
1549,1,1,Mammal,Rodentia,Praomys tullbergi,30,55.2,Herbivore,Eutherian,1.84
577,1,9,Mammal,Rodentia,Proechimys semispinosus,428,821.76,Omnivore,Eutherian,1.92
1552,1,1,Mammal,Rodentia,Psammomys obesus,212,536,Herbivore,Eutherian,2.528301887
1553,1,1,Mammal,Rodentia,Pseudomys apodemoides,20,148.5,Herbivore,Eutherian,7.425
1554,1,1,Mammal,Rodentia,Pseudomys shortridgei,64,39.3,Herbivore,Eutherian,0.6140625
1555,1,9,Mammal,Rodentia,Rattus exulans,72,278.4564613,Omnivore,Eutherian,3.867450851
594,1,9,Mammal,Rodentia,Rattus fuscipes,133,286.3832125,Omnivore,Eutherian,2.153257237
595,1,9,Mammal,Rodentia,Rattus lutreolus,111.5,311.125,Omnivore,Eutherian,2.790358744
596,1,9,Mammal,Rodentia,Rattus norvegicus,402,2171.604,Omnivore,Eutherian,5.402
5971,1,9,Mammal,Rodentia,Rattus rattus,280,1010.624164,Omnivore,Eutherian,3.609372014
1567,1,1,Mammal,Rodentia,Ratufa bicolor,2000,745,Herbivore,Eutherian,0.3725
1568,1,9,Mammal,Rodentia,Reithrodontomys brevirostris,13,45.5,Omnivore,Eutherian,3.5
1569,1,9,Mammal,Rodentia,Reithrodontomys creper,23.5,70.5,Omnivore,Eutherian,3
1570,1,9,Mammal,Rodentia,Reithrodontomys fulvescens,8,30.32,Omnivore,Eutherian,3.79
1571,1,9,Mammal,Rodentia,Reithrodontomys gracilis,12,32.76,Omnivore,Eutherian,2.73
1572,1,9,Mammal,Rodentia,Reithrodontomys megalotis,13,16.25,Omnivore,Eutherian,1.25
1573,1,9,Mammal,Rodentia,Reithrodontomys mexicanus,16,52.48,Omnivore,Eutherian,3.28
1574,1,9,Mammal,Rodentia,Reithrodontomys microdon,9.5,37.525,Omnivore,Eutherian,3.95
1575,1,9,Mammal,Rodentia,Reithrodontomys rodriguezi,15,51.6,Omnivore,Eutherian,3.44
1576,1,9,Mammal,Rodentia,Reithrodontomys spectabilis,18.5,59.755,Omnivore,Eutherian,3.23
1577,1,9,Mammal,Rodentia,Reithrodontomys sumichrasti,10.5,45.78,Omnivore,Eutherian,4.36
1578,1,9,Mammal,Rodentia,Reithrodontomys tenuirostris,22.5,68.4,Omnivore,Eutherian,3.04
5991,1,1,Mammal,Rodentia,Rhabdomys pumilio,51.5,221.6942,Herbivore,Eutherian,4.304741748
1581,1,1,Mammal,Rodentia,Rheomys raptor,21,3.57,Herbivore,Eutherian,0.17
1582,1,1,Mammal,Rodentia,Rheomys thomasi,27,5.13,Herbivore,Eutherian,0.19
1583,1,1,Mammal,Rodentia,Rhombomys opimus,285,480,Herbivore,Eutherian,1.684210526
1584,1,9,Mammal,Rodentia,Saccostomus campestris,47.4,145,Omnivore,Eutherian,3.05907173
1585,1,1,Mammal,Rodentia,Sciurus aberti,610,1943.625,Herbivore,Eutherian,3.186270492
1586,1,1,Mammal,Rodentia,Sciurus aureogaster,527.5,522.225,Herbivore,Eutherian,0.99
6191,1,1,Mammal,Rodentia,Sciurus carolinensis,568,1046.43,Herbivore,Eutherian,1.842306338
1589,1,1,Mammal,Rodentia,Sciurus deppei,205,217.3,Herbivore,Eutherian,1.06
1590,1,1,Mammal,Rodentia,Sciurus granatensis,375,258.75,Herbivore,Eutherian,0.69
1591,1,1,Mammal,Rodentia,Sciurus niger,800,470,Herbivore,Eutherian,0.5875
1592,1,1,Mammal,Rodentia,Sciurus richmondi,251.5,251.5,Herbivore,Eutherian,1
1593,1,1,Mammal,Rodentia,Sciurus variegatoides,678,515.28,Herbivore,Eutherian,0.76
6201,1,1,Mammal,Rodentia,Sciurus vulgaris,600,652,Herbivore,Eutherian,1.086666667
1596,1,1,Mammal,Rodentia,Sciurus yucatanensis,408,359.04,Herbivore,Eutherian,0.88
1597,1,9,Mammal,Rodentia,Scotinomys teguina,11.5,71.415,Omnivore,Eutherian,6.21
1598,1,9,Mammal,Rodentia,Scotinomys xerampelinus,14,50.4,Omnivore,Eutherian,3.6
6281,1,9,Mammal,Rodentia,Sigmodon hispidus,185,500,Omnivore,Eutherian,2.702702703
1602,1,9,Mammal,Rodentia,Spermophilus armatus,266,560.2389975,Omnivore,Eutherian,2.106161645
1603,1,9,Mammal,Rodentia,Spermophilus beecheyi,550.5,465.025,Omnivore,Eutherian,0.844732062
1604,1,9,Mammal,Rodentia,Spermophilus beldingi,282,295.1553,Omnivore,Eutherian,1.04665
1605,1,9,Mammal,Rodentia,Spermophilus citellus,217,210,Omnivore,Eutherian,0.967741935
1606,1,9,Mammal,Rodentia,Spermophilus columbianus,412,338.6703947,Omnivore,Eutherian,0.822015521
1607,1,9,Mammal,Rodentia,Spermophilus elegans,453.6,420.5714286,Omnivore,Eutherian,0.927185689
1608,1,9,Mammal,Rodentia,Spermophilus lateralis,158.25,356.68488,Omnivore,Eutherian,2.253932891
1609,1,9,Mammal,Rodentia,Spermophilus parryii,625.028758,550.025307,Omnivore,Eutherian,0.88
1610,1,9,Mammal,Rodentia,Spermophilus richardsonii,279,561.7558333,Omnivore,Eutherian,2.013461768
1611,1,9,Mammal,Rodentia,Spermophilus saturatus,275,471.46785,Omnivore,Eutherian,1.714428545
1612,1,9,Mammal,Rodentia,Spermophilus tereticaudus,195,398.1428571,Omnivore,Eutherian,2.041758242
1613,1,9,Mammal,Rodentia,Spermophilus townsendii,155,333.9072,Omnivore,Eutherian,2.15424
1614,1,9,Mammal,Rodentia,Spermophilus tridecemlineatus,161,112.3946667,Omnivore,Eutherian,0.69810352
1615,1,9,Mammal,Rodentia,Spermophilus variegatus,663.0333333,640,Omnivore,Eutherian,0.965260671
1616,1,1,Mammal,Rodentia,Synaptomys cooperi,37.05,167.1428571,Herbivore,Eutherian,4.511278194
1617,1,1,Mammal,Rodentia,Syntheosciurus brochus,150,243,Herbivore,Eutherian,1.62
1618,1,9,Mammal,Rodentia,Tamias amoenus,47.5,104.025,Omnivore,Eutherian,2.19
1619,1,9,Mammal,Rodentia,Tamias minimus,44.1,32.9,Omnivore,Eutherian,0.746031746
1620,1,9,Mammal,Rodentia,Tamias panamintinus,57.3,74.88,Omnivore,Eutherian,1.306806283
1621,1,9,Mammal,Rodentia,Tamias sibiricus,85,66.1,Omnivore,Eutherian,0.777647059
669,1,9,Mammal,Rodentia,Tamias striatus,95.4,254.9327083,Omnivore,Eutherian,2.672250611
670,1,9,Mammal,Rodentia,Tamias townsendii,78.5,149.2125,Omnivore,Eutherian,1.900796178
6711,1,9,Mammal,Rodentia,Tamiasciurus hudsonicus,194.5,591.8996227,Omnivore,Eutherian,3.043185721
1630,1,9,Mammal,Rodentia,Tatera brantsii,75,508.5,Omnivore,Eutherian,6.78
1631,1,9,Mammal,Rodentia,Tatera indica,146.7,330,Omnivore,Eutherian,2.249488753
1632,1,1,Mammal,Rodentia,Thomomys bottae,115.5,96.3,Herbivore,Eutherian,0.833766234
1633,1,1,Mammal,Rodentia,Thrichomys apereoides,373.5,406,Herbivore,Eutherian,1.087014726
1634,1,1,Mammal,Rodentia,Thryonomys swinderianus,6600,5810,Herbivore,Eutherian,0.88030303
7011,1,1,Mammal,Rodentia,Tylomys nudicaudus,280,510,Herbivore,Eutherian,1.821428571
1637,1,1,Mammal,Rodentia,Tylomys watsoni,224,284.48,Herbivore,Eutherian,1.27
1638,1,1,Mammal,Rodentia,Xerospermophilus tereticaudus,163.3,132,Herbivore,Eutherian,0.80832823
1639,1,9,Mammal,Rodentia,Xerus inauris,588,290,Omnivore,Eutherian,0.493197279
725,1,1,Mammal,Rodentia,Zapus hudsonius,18.5,83.68123636,Herbivore,Eutherian,4.523310074
1643,1,1,Mammal,Rodentia,Zapus sp.,22,11.88,Herbivore,Eutherian,0.54
730,1,1,Mammal,Rodentia,Zygodontomys brevicauda,56,523.0225,Herbivore,Eutherian,9.3396875
695,1,9,Mammal,Scandentia,Tupaia glis,148,444,Omnivore,Eutherian,3
1650,1,1,Mammal,Sirenia,Dugong dugon,360000,19300,Herbivore,Eutherian,0.053611111
1651,1,1,Mammal,Sirenia,Trichechus inunguis,480000,65400,Herbivore,Eutherian,0.13625
689,1,1,Mammal,Sirenia,Trichechus manatus,311243.2919,40461.62795,Herbivore,Eutherian,0.13
690,1,1,Mammal,Sirenia,Trichechus manatus,311243.2919,40461.62795,Herbivore,Eutherian,0.13
486,1,2,Mammal,Tubulidentata,Orycteropus afer,60000,14300,Carnivore,Eutherian,0.238333333
1657,1,9,Mammal,Xenarthra,Bradypus tridactylus,3008.153544,782.1199214,Omnivore,Eutherian,0.26
1658,1,9,Mammal,Xenarthra,Bradypus variegatus,3900,1287,Omnivore,Eutherian,0.33
1659,1,9,Mammal,Xenarthra,Cabassous centralis,3000,480,Omnivore,Eutherian,0.16
1660,1,9,Mammal,Xenarthra,Chaetophractus villosus,3000,1480,Omnivore,Eutherian,0.493333333
168,1,1,Mammal,Xenarthra,Choloepus didactylus,6250,1230,Herbivore,Eutherian,0.1968
169,1,1,Mammal,Xenarthra,Choloepus hoffmanni,6250,1150,Herbivore,Eutherian,0.184
1666,1,9,Mammal,Xenarthra,Cyclopes didactylus,215,79.55,Omnivore,Eutherian,0.37
1667,1,1,Mammal,Xenarthra,Dasyprocta mexicana,3000,1020,Herbivore,Eutherian,0.34
216,1,9,Mammal,Xenarthra,Dasypus novemcinctus,5000,4750,Omnivore,Eutherian,0.95
1672,1,9,Mammal,Xenarthra,Euphractus sexcinctus,5472.679311,4323.416656,Omnivore,Eutherian,0.79
