"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Mortality_per_yr","Trophic","Group","Lifespan_yr"
"205",1,1,"Mammal","Artiodactyla","Rucervus duvaucelii",170000,0.102040816,"Herbivore","Eutherian",9.80000003136
"206",1,1,"Mammal","Artiodactyla","Rucervus eldii",122500,0.12195122,"Herbivore","Eutherian",8.1999999672
"188",1,1,"Mammal","Artiodactyla","Rupicapra rupicapra",35500,0.162681818333333,"Herbivore","Eutherian",6.14696842120986
"210",1,1,"Mammal","Artiodactyla","Rusa alfredi",46475,0.135135135,"Herbivore","Eutherian",7.4000000074
"211",1,1,"Mammal","Artiodactyla","Rusa timorensis",63000,0.118483412,"Herbivore","Eutherian",8.4400000229568
"212",1,1,"Mammal","Artiodactyla","Rusa unicolor",185000,0.09469697,"Herbivore","Eutherian",10.559999966208
"189",1,1,"Mammal","Artiodactyla","Saiga tatarica",40000,0.2345,"Herbivore","Eutherian",4.26439232409382
"215",1,1,"Mammal","Artiodactyla","Sus barbatus",102750,0.154320988,"Herbivore","Eutherian",6.4799999854848
"216",1,1,"Mammal","Artiodactyla","Sus salvanius",8000,0.178571429,"Herbivore","Eutherian",5.59999998656
"192",1,1,"Mammal","Artiodactyla","Sus scrofa",100800,0.113197531,"Herbivore","Eutherian",8.83411494195929
"220",1,1,"Mammal","Artiodactyla","Sus verrucosus",76000,0.147058824,"Herbivore","Eutherian",6.79999997824
"221",1,1,"Mammal","Artiodactyla","Sylvicapra grimmia",18500,0.162337662,"Herbivore","Eutherian",6.1600000128128
"19410",1,1,"Mammal","Artiodactyla","Syncerus caffer",581800,0.0850439024,"Herbivore","Eutherian",11.7586325624681
"227",1,1,"Mammal","Artiodactyla","Taurotragus derbianus",680000,0.123152709,"Herbivore","Eutherian",8.1200000237104
"228",1,1,"Mammal","Artiodactyla","Taurotragus oryx",5e+05,0.095785441,"Herbivore","Eutherian",10.4399999578224
"196",1,1,"Mammal","Artiodactyla","Tayassu pecari",28800,0.157239766,"Herbivore","Eutherian",6.35971437403436
"197",1,1,"Mammal","Artiodactyla","Tetracerus quadricornis",19000,0.1998390805,"Herbivore","Eutherian",5.00402622699217
"234",1,1,"Mammal","Artiodactyla","Tragelaphus angasii",120000,0.135135135,"Herbivore","Eutherian",7.4000000074
"235",1,1,"Mammal","Artiodactyla","Tragelaphus eurycerus",307500,0.114155251,"Herbivore","Eutherian",8.7600000108624
"200",1,1,"Mammal","Artiodactyla","Tragelaphus imberbis",81900,0.183754208666667,"Herbivore","Eutherian",5.44205222430588
