UniqueID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Productivity_g_yr,Growth_rate_per_yr,Trophic,Group,Family,Genus,Reference,Notes,Notes_measure,,
2131,4,5,Invertebrate,Hemiptera,Acyrthosiphon pisum,0.0024,0.28908,120.45,,Insect,,Acyrthosiphon,Morgan et al. 2001; after Frazier et al. 2006,Temp.C= 23.1; Dry mass converted to wet mass assuming 30% dry matter content,,,
2132,4,5,Invertebrate,Hemiptera,Aphis citricola,0.000466667,0.074946667,160.6,,Insect,,Aphis,Komazaki 1982; after Frazier et al. 2006,Temp.C= 27.2; Dry mass converted to wet mass assuming 30% dry matter content,,,
2133,4,5,Invertebrate,Hemiptera,Aphis gossypii,0.0004,0.05986,149.65,,Insect,,Aphis,Xia et al. 1999 ; after Frazier et al. 2006,Temp.C= 28.4; Dry mass converted to wet mass assuming 30% dry matter content,,,
2134,4,5,Invertebrate,Hemiptera,Aphis nasturtii,0.000266667,0.03212,120.45,,Insect,,Aphis,Wang et al. 1997 ; after Frazier et al. 2006,Temp.C= 28.5; Dry mass converted to wet mass assuming 30% dry matter content,,,
2135,4,5,Invertebrate,Hemiptera,Bemisia argentifolia,0.000366667,0.026766667,73,,Insect,,Bemisia,Wang and Tsai 1996 ; after Frazier et al. 2006,Temp.C= 26.5; Dry mass converted to wet mass assuming 30% dry matter content,,,
2136,4,5,Invertebrate,Hemiptera,Brevicoryne brassicae,0.0003,0.016425,54.75,,Insect,,Brevicoryne,DeLoach 1974 ; after Frazier et al. 2006,Temp.C= 24.1; Dry mass converted to wet mass assuming 30% dry matter content,,,
2137,4,5,Invertebrate,Hemiptera,Clavigralla shadabi,0.053,3.0952,58.4,,Insect,,Clavigralla,Dreyer and Baumgartner 1996; after Frazier et al. 2006,Temp.C= 28.8; Dry mass converted to wet mass assuming 30% dry matter content,,,
2138,4,5,Invertebrate,Hemiptera,Clavigralla tomentosicollis,0.053,2.90175,54.75,,Insect,,Clavigralla,Dreyer and Baumgartner 1996 ; after Frazier et al. 2006,Temp.C= 32.6; Dry mass converted to wet mass assuming 30% dry matter content,,,
2139,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,0.173375,6.935,,Insect,Dactylopiidae,Dactylopius,Hosking 1984,Temp: 17.5 deg C,,,
2140,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,0.38325,15.33,,Insect,Dactylopiidae,Dactylopius,Hosking 1984,Temp: 20 deg C,,,
2141,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,0.63875,25.55,,Insect,Dactylopiidae,Dactylopius,Hosking 1984,Temp: 22.5 deg C,,,
2142,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,0.939875,37.595,,Insect,Dactylopiidae,Dactylopius,Hosking 1984,Temp: 25 deg C,,,
2143,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,1.168,46.72,,Insect,Dactylopiidae,Dactylopius,Hosking 1984,Temp: 27.5 deg C,,,
2144,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,1.33225,53.29,,Insect,Dactylopiidae,Dactylopius,Hosking 1984,Temp: 30 deg C,,,
2145,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.025,1.323125,52.925,,Insect,Dactylopiidae,Dactylopius,Hosking 1984,Temp: 32 deg C,,,
2146,4,5,Invertebrate,Hemiptera,Dactylopius austrinus,0.000133333,0.0073,54.75,,Insect,,Dactylopius,Hosking 1984; after Frazier et al. 2006,Temp.C= 31; Dry mass converted to wet mass assuming 30% dry matter content,,,
2147,4,5,Invertebrate,Hemiptera,Diaphorina citri,0.002566667,0.187366667,73,,Insect,,Diaphorina,Liu and Tsai 2000 ; after Frazier et al. 2006,Temp.C= 28; Dry mass converted to wet mass assuming 30% dry matter content,,,
2148,4,5,Invertebrate,Hemiptera,Drepanosiphum acerinum,0.0009,0.05256,58.4,,Insect,,Drepanosiphum,Wellings 1981; after Frazier et al. 2006,Temp.C= 20; Dry mass converted to wet mass assuming 30% dry matter content,,,
2149,4,5,Invertebrate,Hemiptera,Drepanosiphum platanoids,0.0017,0.06205,36.5,,Insect,,Drepanosiphum,Wellings 1981; after Frazier et al. 2006,Temp.C= 19.8; Dry mass converted to wet mass assuming 30% dry matter content,,,
2150,4,5,Invertebrate,Hemiptera,Eriosoma lanigerum,0.0004,0.02774,69.35,,Insect,,Eriosoma,Asante et al. 1991 ; after Frazier et al. 2006,Temp.C= 23.9; Dry mass converted to wet mass assuming 30% dry matter content,,,
2151,4,5,Invertebrate,Hemiptera,Hyadaphis pseudobrassicae,0.000466667,0.063023333,135.05,,Insect,,Hyadaphis,DeLoach 1974; after Frazier et al. 2006,Temp.C= 24.7; Dry mass converted to wet mass assuming 30% dry matter content,,,
2152,4,5,Invertebrate,Hemiptera,Hyperomyzus lactucae,0.0006,0.04818,80.3,,Insect,,Hyperomyzus,Liu and Hughes 1987; after Frazier et al. 2006,Temp.C= 24; Dry mass converted to wet mass assuming 30% dry matter content,,,
2153,4,5,Invertebrate,Hemiptera,Macrolophus pygmaeus,0.002166667,0.079083333,36.5,,Insect,,Macrolophus,Perdikis and Lykouressis 2002 ; after Frazier et al. 2006,Temp.C= 27.5; Dry mass converted to wet mass assuming 30% dry matter content,,,
2154,4,5,Invertebrate,Hemiptera,Macrosiphum euphorbiae,0.001933333,0.155246667,80.3,,Insect,,Macrosiphum,Barlow 1962; after Frazier et al. 2006,Temp.C= 22.2; Dry mass converted to wet mass assuming 30% dry matter content,,,
2155,4,5,Invertebrate,Hemiptera,Myzus persicae,0.0007,0.074095,105.85,,Insect,,Myzus,DeLoach 1974; after Frazier et al. 2006,Temp.C= 23; Dry mass converted to wet mass assuming 30% dry matter content,,,
2156,4,5,Invertebrate,Hemiptera,Planococcus pacificus,0.002,0.1095,54.75,,Insect,,Planococcus,Hwang et al. 1988 ; after Frazier et al. 2006,Temp.C= 25; Dry mass converted to wet mass assuming 30% dry matter content,,,
