"","Plot","Plot2","Major_taxa","Order","Species","Mass_g","Density_Nm2","Trophic","Group","Biomass_g_m2"
"1990",1,2,"Mammal","Eulipotyphla","Sorex longirostris",4.5,6.9e-05,"Carnivore","Eutherian",0.0003105
"1991",1,2,"Mammal","Eulipotyphla","Sorex minutus",5.3,0.000621,"Carnivore","Eutherian",0.0032913
"1992",1,2,"Mammal","Eulipotyphla","Sorex vagrans",7,0.000717,"Carnivore","Eutherian",0.005019
"1993",1,2,"Mammal","Eulipotyphla","Syluisorex lunaris",18.5,0.000949,"Carnivore","Eutherian",0.0175565
"1994",1,2,"Mammal","Eulipotyphla","Sylvisorex megalura",5.3,0.001103,"Carnivore","Eutherian",0.0058459
"1995",1,2,"Mammal","Eulipotyphla","Talpa europea",76,0.001045,"Carnivore","Eutherian",0.07942
"1996",1,1,"Mammal","Hyracoidea","Dendrohyrax validus",2430,2.56e-05,"Herbivore","Eutherian",0.062208
"1997",1,1,"Mammal","Lagomorpha","Echimys spp.",600,7.35e-05,"Herbivore","Eutherian",0.0441
"1998",1,1,"Mammal","Lagomorpha","Hydrochaeris hydrochaeris",31500,1.78e-05,"Herbivore","Eutherian",0.5607
"1999",1,1,"Mammal","Lagomorpha","Lepus americanus",1360,0.000141,"Herbivore","Eutherian",0.19176
"2000",1,1,"Mammal","Lagomorpha","Lepus californicus",2420,1.3e-05,"Herbivore","Eutherian",0.03146
"2001",1,1,"Mammal","Lagomorpha","Lepus capensis",3030,9.97e-06,"Herbivore","Eutherian",0.0302091
"2002",1,1,"Mammal","Lagomorpha","Lepus nigricollis",2710,0.000101,"Herbivore","Eutherian",0.27371
"121",1,1,"Mammal","Lagomorpha","Lepus timidus",3260,9.4e-06,"Herbivore","Eutherian",0.030644
"2005",1,1,"Mammal","Lagomorpha","Lepus townsendi",3400,5.84e-06,"Herbivore","Eutherian",0.019856
"2006",1,1,"Mammal","Lagomorpha","Myoprocta acouchy",552,8.6e-06,"Herbivore","Eutherian",0.0047472
"2007",1,1,"Mammal","Lagomorpha","Neacomys spp.",20,4e-04,"Herbivore","Eutherian",0.008
