rmax,interaction_strength_flux
0.859,3.226666666666667
0.86,3.233333333333334
0.861,3.2400000000000007
0.862,3.2466666666666666
0.863,3.253333333333334
0.864,3.2600000000000007
0.865,3.2666666666666675
0.866,3.2733333333333343
0.867,3.2800000000000002
0.868,3.286666666666667
0.869,3.293333333333334
0.87,3.3000000000000007
0.871,3.3066666666666675
0.872,3.3133333333333335
0.873,3.3200000000000003
0.874,3.326666666666667
0.875,3.333333333333334
0.876,3.3400000000000007
0.877,3.3466666666666667
0.878,3.353333333333334
0.879,3.3600000000000008
0.88,3.3666666666666676
0.881,3.3733333333333344
0.882,3.3800000000000003
0.883,3.386666666666667
0.884,3.393333333333334
0.885,3.400000000000001
0.886,3.4066666666666676
0.887,3.4133333333333336
0.888,3.4200000000000004
0.889,3.426666666666667
0.89,3.433333333333334
0.891,3.440000000000001
0.892,3.4466666666666668
0.893,3.453333333333334
0.894,3.460000000000001
0.895,3.4666666666666677
0.896,3.4733333333333345
0.897,3.4800000000000004
0.898,3.4866666666666672
0.899,3.493333333333334
0.9,3.500000000000001
0.901,3.5066666666666677
0.902,3.5133333333333336
0.903,3.5200000000000005
0.904,3.5266666666666673
0.905,3.533333333333334
0.906,3.5400000000000014
0.907,3.5466666666666673
0.908,3.553333333333334
0.909,3.560000000000001
0.91,3.5666666666666678
0.911,3.5733333333333346
0.912,3.5800000000000005
0.913,3.5866666666666673
0.914,3.593333333333334
0.915,3.600000000000001
0.916,3.606666666666668
0.917,3.6133333333333337
0.918,3.6200000000000006
0.919,3.6266666666666674
0.92,3.633333333333334
0.921,3.6400000000000015
0.922,3.6466666666666674
0.923,3.653333333333334
0.924,3.660000000000001
0.925,3.666666666666668
0.926,3.6733333333333347
0.927,3.6800000000000006
0.928,3.6866666666666674
0.929,3.6933333333333342
0.93,3.700000000000001
0.931,3.706666666666668
0.932,3.713333333333334
0.933,3.7200000000000006
0.934,3.7266666666666675
0.935,3.7333333333333343
0.936,3.7400000000000015
0.937,3.7466666666666675
0.938,3.7533333333333334
0.939,3.7600000000000002
0.94,3.766666666666667
0.941,3.773333333333334
0.942,3.7800000000000007
0.943,3.7866666666666666
0.944,3.7933333333333334
0.945,3.8000000000000003
0.946,3.806666666666667
0.947,3.813333333333334
0.948,3.82
0.949,3.8266666666666667
0.95,3.8333333333333335
0.951,3.8400000000000003
0.952,3.8466666666666676
0.953,3.8533333333333335
0.954,3.8600000000000003
0.955,3.866666666666667
0.956,3.873333333333334
0.957,3.880000000000001
0.958,3.8866666666666667
0.959,3.8933333333333335
0.96,3.9000000000000004
0.961,3.906666666666667
0.962,3.913333333333334
0.963,3.92
0.964,3.9266666666666667
0.965,3.9333333333333336
0.966,3.9400000000000004
0.967,3.9466666666666677
0.968,3.9533333333333336
0.969,3.9600000000000004
0.97,3.9666666666666672
0.971,3.973333333333334
0.972,3.980000000000001
0.973,3.986666666666667
0.974,3.9933333333333336
0.975,4.000000000000001
0.976,4.006666666666668
0.977,4.0133333333333345
0.978,4.0200000000000005
0.979,4.026666666666667
0.98,4.033333333333334
0.981,4.040000000000001
0.982,4.046666666666668
0.983,4.053333333333334
0.984,4.0600000000000005
0.985,4.066666666666667
0.986,4.073333333333334
0.987,4.080000000000001
0.988,4.086666666666667
0.989,4.093333333333334
0.99,4.1000000000000005
0.991,4.106666666666667
0.992,4.113333333333334
0.993,4.12
0.994,4.126666666666667
0.995,4.133333333333334
0.996,4.140000000000001
0.997,4.146666666666667
0.998,4.153333333333333
0.999,4.16
1.0,4.166666666666667
1.001,4.173333333333333
1.002,4.180000000000001
1.003,4.1866666666666665
1.004,4.193333333333334
1.005,4.2
1.006,4.206666666666668
1.007,4.213333333333334
